"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	11250	0	6878	20786	0	33368	0	0	0	0	36630	0	477		15708	2224		26490	36153	0	0	227	0	0	3541	9440	8342	679	12981	0	518	260	375	6294	1153	0	0	518	0								
242	7480	0	765	12827	0	20501	0	0	0	0	24115	0	4045		4620	6005		19736	20070	0	0	144	0	0	1661	2014	2430	675	3675	2806	259	262	523	2160	3850	0	0	3065	0								
279	67838	0	621	34583	0	100137	0	0	0	0	152531	0	1242		29480	9385		99516	151289	0	0	6147	0	0	10213	30716	21149	2103	40929	2377	5312	3438	0	34702	11126	0	0	7688	0								
354	2366	0	141	7418	0	7418	0	0	0	0	8690	0	1042		1550	3786		7277	7648	0	0	0	0	0	679	1601	0	0	2162	260	0	0	0	730	260	0	0	260	0								
457	8064	0	738	13691	0	17272	0	0	0	0	33013	0	4902		6352	14629		16534	28111	0	0	1083	0	0	1781	4532	2696	523	6245	253	253	282	0	3180	788	0	0	506	0								
505	280357	2	9642	84083	0	90692	0	0	19995	0	552872	0	140723		17833	215881		81048	412149	0	0	734	0	0	7432	14888	5329	258	22205	23485	4241	1001	0	10074	28727	26453	19995	27726	0								
1155	1129	1	8514	44507	0	202464	0	0	0	0	66699	0	1020		24552	19519		193594	65679	355	0	2556	0	0	15034	16205	5678	1136	27551	1684	5522	792	0	13501	7998	792	0	6527	0								
1351	11278	0	10567	30257	0	50690	0	0	0	0	113638	0	12631		36217	27814		40123	101007	0	0	4493	0	0	11125	31293	17939	0	42418	6728	2418	5042	0	24140	14188	0	0	9146	0								
1454	940	0	40812	324473	0	501632	0	0	0	0	421257	831	39787		34289	329359		460820	380639	0	0	9331	0	0	19196	17817	8863	5029	30838	30537	4602	1858	3057	16616	40054	254	0	7794	0								
1669	46730	2	29888	96072	0	181019	0	0	0	0	128736	0	358		24208	30060		150795	128338	334	40	3075	0	0	10010	20477	6584	3905	29797	1740	5465	2514	1250	16769	10969	0	0	7205	0								
1856	1854	0	1291	4192	0	7492	0	0	0	0	39059	0	3054		4107	15980		6201	25154	0	10851	0	0	0	3044	8972	4452	21	12016	2005	2281	450	0	12381	4736	0	0	4286	5622								
2161	41753	0	9178	80327	0	133649	0	0	0	0	104065	0	20994		7531	38653	7661	124385	83071	86	0	160	0	0	2184	12173	1548	852	14357	2307	4320	0	275	9226	6902	25156	0	6627	0	true							
2732	62380	0	7371	175258	0	232191	0	0	0	0	350200	0	11354		30829	114271		224820	338846	0	0	4878	0	0	14627	40684	7918	3469	55216	27465	74786	3716	884	35869	106851	0	0	102251	0								
2750	20199	0	3970	8533	0	20614	0	0	0	0	39958	0	10495		6293	824		16644	26797	0	2666	719	0	0	5466	7796	2909	606	12311	301	929	927	0	10484	2157	0	0	1230	2666								
3252	18868	0	93384	44445	0	136815	0	0	1370	0	85354	0	27838		10054	28647		43431	56011	0	1505	0	859	288	3217	10767	6449	1755	13984	10933	3466	1254	0	12133	15652	16700	511	14399	1683								
3458	3592	0	3349	8820	0	16458	0	0	2000	0	41305	0	7942		12431	3739		13109	33363	0	0	269	2000	2000	6168	12285	7590	1995	16446	2450	512	2686	288	15607	5936	0	0	2962	0								
3720	70711	0	28660	85011	0	192143	0	0	0	0	110692	0	6042		17749	3197		163483	104650	0	0	1196	0	0	9898	14920	2488	0	24599	3180	5577	721	0	9557	9478	0	0	8757	0								
3971	125185	0	174	187858	0	294143	0	0	4862	0	375640	0	3147		68411	116676		293969	363171	0	9322	3891	4862	2526	18475	47052	41719	7335	65527	2533	8019	7143	1503	46170	19198	0	0	10552	4461								
4156	30563	0	13042	63153	0	128996	0	0	0	0	115045	0	16043		16364	36224		115954	96526	0	2476	1644	0	0	16859	12532	8229	3947	29391	1276	3271	1157	986	25203	6690	14426	0	4547	1490								
4231	21475	0	16976	35710	0	58823	0	0	0	0	60112	0	1070		13062	7015		41847	59042	0	0	8138	0	0	3805	11487	5803	5550	15292	500	1457	1574	1444	13585	4975	0	0	1957	0								
5069	29738	0	0	57934	0	59108	0	0	67191	0	175074	0	248		47369	8361		59108	148861	0	25965	505	67191	22062	16178	37285	47189	7571	53463	6646	15187	6919	0	60854	28752	0	0	21833	5112		0						
