"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														121		86	0					35	0	0							
242														22		0	0					22	0	0							
279														1974		1432	0					106	436	0							
354														99		18	0					5	76	0							
457														89		0	0					17	72	0							
505														8374		3973	942					58	3308	93							
1155														1864		1394	0					72	398	0							
1351														537		84	0					281	172	0							
1454														3231		3058	0					41	132	0							
1669														135		27	0					88	20	0							
1856														82		45	0					28	9	0							
2161														3273	0	1984	0	0	0	0	0	33	1256	0	1984	0	0				
2732														1911		599	0					322	990	0							
2750														499		360	0					31	98	10							
3252														147		0	0					68	79	0							
3458														438		230	100					38	70	0							
3720														2127		0	0					35	2092	0							
3971														10531		5118	0					279	5134	0							
4156														737		525	25					116	71	0							
4231														429		0	0					120	309	0							
5069														4535		1158	0					508	2020	849							
5135														2322		1008	0					180	1134	0							
5210														17791		9902	0					808	6988	93	3535				Deferred Director's Fees		
5461														6867		5418	0					2	1265	182							
5751														1775		1527	0					24	224	0							
6039														2341	0	310	0	0	231	0	0	228	1803	0	0	0	0	DEBIT CARD SUSPENSE			
6329														7544		3506	0	479				250	3788	0	2968						
7009														5669		399	81					4	5185	0							
7045														1363	0	0	529	0	0	0	0	74	760	0	0	0	0				
7072														4556		3310	0					7	1239	0							
