"IDRSSD"	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	RCONL183	RCONL184	RCONL185	RCONL186	RCONL187	RCONL188	
	LN RSTR CMRL IND LN NUS ADR PD 30 - 	LN RSTR CMRL IND LN NUS ADR PD 90	LN RSTR CMRL IND LN NUS ADR NACRL	LN RSTR ALL OTHR LN LEASE PD 30 - 89	LN RSTR ALL OTHR LN LEASE PD 90	LN RSTR ALL OTHR LN LEASE NACRL	ITEMIZE LN FARM PD 30 - 89	ITEMIZE LN FARM PD 90	ITEMIZE LN FARM NACRL	ITEMIZE LN FINANCE AGRI FARM PD 30 -	ITEMIZE LN FINANCE AGRI FARM PD 90	ITEMIZE LN FINANCE AGRI FARM NACRL	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	LN RSTR CMRL IND LN PD 30 - 89	LN RSTR CMRL IND LN PD 90	LN RSTR CMRL IND LN NACRL	CREDIT CARD LN HOUSE FAMILY PD 30 - 	CREDIT CARD LN HOUSE FAMILY PD 90	CREDIT CARD LN HOUSE FAMILY NACRL	ITEMIZE AUTO LN HOUSE FAMILY PD 30 -	ITEMIZE AUTO LN HOUSE FAMILY PD 90	ITEMIZE AUTO LN HOUSE FAMILY NACRL	OTHR CNSMR LN HOUSE FAMILY PD 30 - 8	OTHR CNSMR LN HOUSE FAMILY PD 90	OTHR CNSMR LN HOUSE FAMILY NACRL	PURCH CREDIT IMPR LN BAL PD 30 - 89	PURCH CREDIT IMPR LN BAL PD 90	PURCH CREDIT IMPR LN BAL NACRL	PURCH CREDIT IMPR LN CARRY PD 30 - 8	PURCH CREDIT IMPR LN CARRY 90	PURCH CREDIT IMPR LN CARRY NACRL	
37													76	0	29	26	9	1																			
242													6	0	0	0	5	0																			
279													0	0	0	64	0	0																			
354													55	0	0	0	0	0																			
457													7	17	0	2	0	4																			
505													37	11	0	318	0	0																			
1155													2	0	0	0	0	0																			
1351													413	218	142	200	83	71													0	0	0	0	0	0	
1454													8	0	2	3	0	0																			
1669													246	60	0	239	29	67																			
1856													0	0	0	0	0	1																			
2161				0	0	0	0	0	0	0	0	0	37	0	0	36	14	0	0	0	0	0	0	0	0	0	0	0	0	0							
2732													0	0	0	0	0	0																			
2750													0	0	0	0	0	0																			
3252													20	0	6	119	1	41																			
3458													34	0	0	0	0	0																			
3720													3	0	0	14	0	0																			
3971													0	0	0	689	0	55																			
4156													0	0	0	0	0	1																			
4231													5	0	0	22	0	2																			
5069													0	0	0	0	0	0																			
5135													7	0	0	13	1	33																			
5210													0	0	0	46	0	0																			
5461													0	0	0	0	0	0																			
5751													2	0	25	3	0	0																			
6039				0	0	0	0	0	0	0	0	0	1	0	4	27	5	2	0	0	0	0	0	0	0	0	0	0	0	0							
6329	0	0	0	0	0	0	0	0	0	0	0	0	3940	0	864	1289	1	87	0	0	34	0	0	0	0	0	0	0	0	0							
7009													0	0	0	0	0	0																			
7045				0	0	0	0	0	0	0	0	0	24	0	31	31	0	9	0	0	0	0	0	0	0	0	0	0	0	0							
