"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT88	RCONMT89	RCONMT90	RCONMT91	RCONMT92	RCONMT93	RCONMT94	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Fully insured, affiliate, retail swe	Not fully insured, affiliate sweep d	Not fully insured, affiliate, retail	Fully insured, non-affiliate sweep d	Fully insured, non-affiliate, retail	Not fully insured, non-affiliate swe	Not fully insured, non-affiliate, re	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	11894	0	8593	23635	0	37026	0	0	0	0	36469	0	511		14856	2173		28433	35958	0	0	224	0	0	2162	10428	7282	813	12590	251	784	381	302	5829	1718	0	0	1035	0																	
242	8324	0	1097	13013	0	21264	0	0	0	0	23730	0	4184		4190	5507		20167	19546	0	0	0	0	0	1715	2044	1746	241	3759	2811	813	529	0	1556	4153	0	0	3624	0																	
279	79088	0	465	56351	0	133559	0	0	0	0	161578	0	1091		24873	11749		133094	160487	0	0	5296	0	0	9696	22181	23078	1439	31877	2375	7098	4874	0	31522	14346	0	0	9473	0																	
354	2617	0	145	10097	0	10097	0	0	0	0	10675	0	1079		1397	5536		9952	9596	0	0	0	0	0	664	1545	52	0	2209	0	261	0	0	864	261	0	0	261	0																	
457	8763	0	462	11876	0	15565	0	0	0	0	36569	0	4713		5922	18268		15103	31856	0	0	987	0	0	1366	4050	3068	509	5416	0	544	0	0	3072	544	0	0	544	0																	
505	118066	0	59809	167826	0	290406	0	0	19995	0	432947	0	124161		17284	256423		230597	308786	0	0	821	0	0	7307	16070	3920	621	23277	23449	6743	349	0	10632	30541	27742	19995	30192	0																	
1155	1386	1	16907	81641	0	303498	0	0	0	0	105512	0	9451		27260	50184		286235	96061	355	0	2813	0	0	13423	13032	13013	1553	23083	3751	4786	4385	0	13761	12922	1378	0	7770	0																	
1351	12089	0	11904	31102	0	54488	0	0	0	0	115947	0	10112		34962	32075		42584	105835	0	0	4835	0	0	12397	32295	15299	0	44692	4993	2821	3980	0	25028	11793	0	0	7814	0																	
1454	1060	0	40144	347409	0	547556	0	0	0	0	448476	671	36041		33496	353194		506915	411764	497	0	10133	0	0	18655	18917	10699	4834	30104	31235	3847	2575	3459	19611	41116	8486	0	11832	0																	
1669	50213	0	33706	98073	0	193336	0	0	0	0	131280	0	359		22555	30464		159612	130881	18	40	3541	0	0	8829	20636	8141	3807	28839	1721	4803	2107	559	18857	9190	0	0	6216	0																	
1856	1454	0	1685	4323	0	7679	0	0	0	0	31109	0	2865		3913	15386		5994	21806	0	6438	0	0	0	1885	7458	1917	0	9343	509	2245	255	0	7348	3009	0	0	2753	995																	
2161	43482	0	8187	136761	0	143884	0	0	29903	0	181412	0	28461		36646	86721	7751	134251	152951	1446	0	0	29903	0	0	8999	34456	416	8999	0	4516	1781	1040	7225	7337	36633	0	4516	0	0		0		0		0		0	true							
2732	68192	0	5750	195298	0	253371	0	0	0	0	380182	0	11268		27013	153748		247621	368914	0	0	4174	0	0	14712	34341	7453	732	48895	40590	56687	3727	0	30225	101004	0	0	97277	0																	
2750	21169	0	5082	8114	0	21594	0	0	0	0	35882	0	7794		5107	903		16512	28088	0	0	860	0	0	2997	4891	3383	95	7197	1267	0	1177	0	6259	2444	0	0	1267	0																	
3252	21508	0	122640	55080	0	166187	0	0	580	0	93205	0	41980		8274	17387		43547	50229	0	996	0	580	580	3549	10210	3640	1787	13759	21544	13580	0	0	10912	35124	3543	0	35124	746																	
3458	4442	0	3307	9688	0	17559	0	0	2000	0	46601	0	8031		10370	12453		14252	38570	0	0	265	2000	2000	4804	13663	4445	864	18467	2673	2714	541	0	13406	5928	0	0	4887	0																	
3720	91643	0	30232	106459	0	213419	0	0	0	0	127123	0	6221		16127	3272		183187	120902	0	0	1787	0	0	8167	16158	1126	0	24235	1531	4815	411	0	9324	6757	0	0	6345	0																	
3971	133246	0	190	168162	0	275978	0	0	109248	0	469646	0	2519		162322	119826		275788	354434	0	112693	3326	109248	67240	35299	86022	74136	4683	121321	3206	4244	7890	1094	37818	16434	0	0	7450	3324																	
4156	34304	0	14444	61967	0	130233	0	0	0	0	130794	47	16349		14704	48254		115781	112665	8	1733	1631	0	0	18683	13198	7355	2865	31881	1548	2705	896	986	27397	6135	15469	0	4253	747																	
4231	25578	0	21855	40982	0	67640	0	0	0	0	67283	0	2511		12549	10926		45785	64772	0	0	8344	0	0	3255	9884	5390	6650	13139	500	1323	1496	2281	12630	5600	0	0	1823	0																	
5069	38890	0	0	67509	0	68886	0	0	98406	0	217342	6000	987		56205	32593		68886	162110	0	48245	648	98406	39147	13851	38114	63495	347	51965	9852	15102	5098	0	59602	30052	0	0	24954	10425																	
5135	38204	0	65124	112408	0	226680	0	0	18551	0	269509	0	16564		67754	64784		161556	233928	0	19017	10353	18551	0	27585	79675	24161	0	107260	7275	26849	976	0	63667	35100	0	0	34124	0																	
5210	410497	30	176573	675237	0	1257486	0	0	0	0	1163330	0	101771		199549	351674		1079889	1061559	994	0	22775	0	0	78065	145388	70292	11874	221251	23651	55792	10858	5239	106070	95540	40409	0	78945	3683																	
5461	470673	0	11923	79375	0	79375	0	0	0	0	703443	0	22073		4757	211747		67452	681370	0	0	795	0	0	3424	5791	1129	340	9215	3013	7328	0	0	5926	10341	95259	0	10341	0																	
5751	21393	0	15393	45906	0	94627	0	0	3498	0	130839	0	13057		14674	76562		79234	115522	0	2260	2346	1984	992	9022	12521	6348	1290	21543	341	2107	1255	0	14507	3703	6511	1018	2448	994																	
