"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
37			960	0	6	0	954	0	0																						
242			173	0	0	0	175	2	0																						
279			1610	40	4	0	1592	26	0																						
354			181	0	1	0	180	0	0																						
457			674	0	0	0	676	2	0																						
505			8186	120	1	0	8081	16	0																						
1155			3894	225	3	0	3789	123	0																						
1351			1220	75	23	0	1250	128	0																						
1454			5035	0	5	0	5043	13	0																						
1669			4136	120	23	0	4026	33	0																						
1856			279	0	0	0	279	0	0																						
2161			2320	180	2	0	2247	109	0			0	0																		
2732			5005	0	3	0	5066	64	0																						
2750			509	0	1	0	508	0	0																						
3252			4066	0	192	0	3967	93	0																						
3458			597	15	3	0	583	4	0																						
3720			1780	1	2	0	1780	3	0																						
3971			8497	155	38	0	8332	28	0																						
4156			2811	0	19	0	2792	0	0																						
4231			862	0	6	0	856	0	0																						
5069			10450	678	400	0	9372	0	0																						
5135			4586	25	18	0	4593	50	0																						
5210			18963	0	12	0	19033	82	0																						
5461			6825	0	52	0	6774	1	0																						
5751			2391	0	1	0	2409	19	0																						
6039			4127	73	73	0	3989	8	0			0	0																		
6329			17760	2000	295	0	17176	1711	0				0																		
7009			0	0	0	0	0	0	0																						
7045			1161	0	5	0	1157	1	0			0	0																		
7072			3111	0	45	0	3076	10	0																						
7456			887	0	0	0	887	0	0																						
7634			1208	15	5	0	1199	11	0																						
8033			1902	0	0	0	1906	4	0																						
8462			2008	0	0	0	2009	1	0																						
8631			396	0	1	0	397	2	0																						
9357			4961	0	17	0	4944	0	0																						
9553			1212	0	0	0	1212	0	0																						
9807			32001	0	619	0	31649	267	0				0																		
9955			1707	0	1	0	1710	4	0																						
10250			5223	0	152	0	5112	41	0																						
10849			2761	0	0	0	2761	0	0																						
11145			2971	5	13	0	2964	11	0			2971	0																		
11640			2980	15	13	0	2982	30	0																						
11837			1024	0	0	0	1024	0	0																						
12030			11914	0	2416	0	9770	272	0																						
12142			1960	30	10	0	1986	66	0																						
12311	0		2017621	6948	61652	0	2030159	81138	0	0	3673	0		0	0	0	0	0	0	0	0	3434	0	3434	0	0	0	0	14546	0	
12647			1073	0	1	0	1075	3	0																						
12656			182	2	0	0	180	0	0																						
12946			24973	750	268	0	24402	447	0																						
13103			20874	0	553	0	20360	39	0				0																		
13251			622	15	3	0	604	0	0																						
13457			103	0	0	0	103	0	0																						
14155			3838	45	5	0	3809	21	0																						
14650			856	10	19	0	1006	179	0																						
14753			530	0	0	0	530	0	0																						
14865			5412	0	16	0	5396	0	0																						
14977			602	15	0	0	679	92	0			0	0																		
16551			4210	0	3	0	4207	0	0																						
17110			279	0	0	0	279	0	0			0	0																		
17147		0	195984	0	1052	0	195397	465	0			0		245	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	1721	
17259			160	0	5	0	166	11	0																						
17950			5641	60	4	0	5579	2	0																						
17978			1440	0	0	0	1440	0	0																						
18050			6837	0	32	0	6859	54	0																						
18827			13658	250	52	0	13362	6	0																						
18836			1696	9	128	0	1601	42	0																						
18854			10599	276	9	0	10316	2	0				0																		
19356			931	10	1	0	922	2	0																						
19936			4480	0	15	0	4470	5	0																						
19972			399	0	0	0	399	0	0																						
20053			1353	60	1	0	1297	5	0																						
20633			2756	75	4	0	2691	14	0																						
20857			2625	0	0	0	2625	0	0																						
21256			70	0	0	0	70	0	0																						
21359			448	6	3	0	441	0	-2																						
21658			2360	45	20	0	2296	1	0				0																		
22048			3107	75	4	0	3090	62	0																						
22543			2507	0	4	0	2507	4	0																						
22552			918	0	0	0	918	0	0																						
22730			1536	0	21	0	1590	75	0																						
23456			2280	90	14	0	2176	0	0																						
23504		0	79615	-1654	54	0	83853	2638	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	
23643			1351	30	25	0	1325	29	0																						
23755			2352	-60	8	0	2441	37	0																						
24006			8711	286	27	0	8429	31	0																						
24378			186	0	0	0	186	0	0																						
24659			596	0	2	0	630	36	0																						
24668			14245	400	825	0	15492	2472	0																						
24949			6236	-1000	58	0	7181	3	0																						
25357			6030	155	18	0	5901	44	0																						
25647			3073	50	0	0	3023	0	0				0																		
26457			229	1	0	0	228	0	0				0																		
26765			34756	1508	51	0	33702	505	0																						
27070			5260	180	0	0	5087	7	0																						
27548			10995	0	84	0	11125	214	0																						
27614			1351	-100	15	0	1461	25	0																						
27847			7046	200	36	0	6855	45	0																						
28013		0	39274	401	83	0	38973	183	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28152			1444	0	0	0	1444	0	0				0																		
28675			801	0	0	0	801	0	0				0																		
28732			1107	30	1	0	1084	8	0																						
29476			1630	64	0	0	1566	0	0																						
29636			4776	93	252	0	4513	82	0																						
29878			17409	-161	0	0	17570	0	0				0																		
30052			391	0	0	0	393	2	0																						
30502			9470	0	43	0	9466	39	0																						
30650			60	60	0	0	0	0	0																						
30810	0		6646730	192930	234784	0	6821480	602464	0	0	133000			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-39300	1663000	
31134			1456	60	6	0	1400	10	0				0																		
31255			7783	131	5	0	7649	2	0			0	0																		
31657			1003	0	12	0	991	0	0																						
31826			3209	25	26	0	3180	22	0				0																		
31835			1957	0	20	0	1958	21	0																						
32234			191	27	7	0	168	11	0																						
32766			848	60	0	0	809	21	0																						
32971			2733	0	29	0	2733	29	0																						
33147			4846	0	2	0	4853	9	0																						
33259			9100	506	245	0	8720	371	0																						
33268			1246	0	1	0	1246	1	0																						
33370			141	0	0	0	141	0	0																						
33839			93	0	0	0	93	0	0																						
33857			10717	254	39	0	10424	0	0				0																		
