"IDRSSD"	RCFDJJ04	RCFDJJ05	RCFDJJ06	RCFDJJ07	RCFDJJ08	RCFDJJ09	RCFDJJ11	RCFDJJ12	RCFDJJ13	RCFDJJ14	RCFDJJ15	RCFDJJ16	RCFDJJ17	RCFDJJ18	RCFDJJ19	RCFDJJ20	RCFDJJ21	RCFDJJ23	RCFDJJ24	RCFDJJ25	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
37																																									
242																																									
279																																									
354																																									
457																																									
505																																									
1155																																									
1351																																									
1454																																									
1669																																									
1856																																									
2161																																									
2732																																									
2750																																									
3252																																									
3458																																									
3720																																									
3971																																									
4156																																									
4231																																									
5069																																									
5135																																									
5210																																									
5461																																									
5751																																									
6039																																									
6329																																									
7009																																									
7045																																									
7072																																									
7456																																									
7634																																									
8033																																									
8462																																									
8631																																									
9357																																									
9553																																									
9807																																									
9955																																									
10250																																									
10849																																									
11145																																									
11640																																									
11837																																									
12030																																									
12142																																									
12311	2404377	17285738	29809581	42729926	559245	21302740	114091607	93100	539972	199643	874197	46591	264118	0	2017621	0	0	0	0	0																					
12647																																									
12656																																									
12946																																									
13103																																									
13251																																									
13457																																									
14155																																									
14650																																									
14753																																									
14865																																									
14977																																									
16551																																									
17110																																									
17147																					552975	3202307	1739336	3714030	0	147593	9356241	20760	54442	40018	76196	0	4568	0	195984	245	0	0	0	245	
17259																																									
17950																																									
17978																																									
18050																																									
18827																																									
18836																																									
18854																																									
19356																																									
19936																																									
19972																																									
20053																																									
20633																																									
20857																																									
21256																																									
21359																																									
21658																																									
22048																																									
22543																																									
22552																																									
22730																																									
23456																																									
23504																					329349	3946919	4040365	921009	0	12207	9249849	4758	28645	11589	34263	0	360	0	79615	0	0	0	0	0	
23643																																									
23755																																									
24006																																									
24378																																									
24659																																									
24668																																									
24949																																									
25357																																									
25647																																									
26457																																									
26765																																									
27070																																									
27548																																									
27614																																									
27847																																									
28013																					18024	3424966	313992	139662	0	1937	3898581	166	29086	4364	5649	0	9	0	39274	0	0	0	0	0	
28152																																									
28675																																									
28732																																									
29476																																									
29636																																									
29878																																									
30052																																									
30502																																									
30650																																									
30810	0	0	2418156	217185	73617753	17217907	93471001	0	0	43730	6000	5114000	1483000	0	6646730	0	0	0	0	0																					
31134																																									
31255																																									
31657																																									
31826																																									
31835																																									
32234																																									
32766																																									
32971																																									
33147																																									
33259																																									
33268																																									
33370																																									
33839																																									
33857																																									
34434																																									
34537																					259421	3246444	1599644	1175983	275	169450	6451217	2268	53122	14075	17792	18	2563	0	89838	0	0	0	0	0	
34555																																									
34742																																									
35057																																									
35301	0	2557000	0	32572000	0	104000	35233000	0	14000	0	72000	0	0	0	86000	0	0	0	0	0																					
35570																					635796	14940332	4308438	2431800	0	489482	22805848	13003	165820	23292	38700	0	1274	0	242089	22	0	1704	0	1726	
35646																																									
35879																																									
36456																																									
36933																																									
37051																																									
37341																																									
37435																																									
37640																					345897	1771448	831864	648477	15536	39230	3652452	3810	21959	5878	12935	212	284	0	45078	0	0	0	0	0	
37659																																									
37949																																									
38740																																									
39327																																									
39756																																									
40033																																									
40499																					146547	1570889	1545726	371902	0	102287	3737351	3052	18596	13134	6554	0	428	0	41764	0	0	0	0	0	
40855																																									
41553																																									
41629																																									
41825																																									
42037																																									
42354																																									
42372																																									
42420																					398988	2344281	2006221	1123690	10675	1068248	6952103	4930	33704	16728	20721	382	14723	0	91188	0	0	0	0	0	
42448																																									
42457																																									
43052																																									
43351																																									
43856																																									
43959																																									
44040																																									
44433																																									
44741																																									
44750																																									
44929																																									
45038																																									
45047																																									
45056																																									
45430																																									
45458																																									
45551																																									
45560																																									
45775																																									
46053																																									
46941																																									
47247																																									
47256																																									
47452																																									
47500																																									
48057																																									
48150																																									
48374																																									
48440																																									
49054																																									
49148																																									
49241																																									
49652																																									
49858																																									
49951																																									
50144																																									
50461																																									
51253																																									
51356																																									
51459																																									
51842																																									
52719																																									
52951																																									
53051																																									
54058																																									
54656																																									
54973																					105116	1112593	3145531	705350	0	116143	5184733	2371	20176	14221	14314	0	16129	0	67211	0	0	0	0	0	
55336																																									
55635																																									
55653																																									
55970																																									
56258																																									
56351																																									
56548																																									
56717																																									
57040																																									
57451																																									
58225																																									
58243																																									
58355																																									
58551																																									
58636																																									
58757																																									
58971																																									
59316																																									
59352																																									
59370																																									
59754																																									
60143	2301000	11992000	1769000	31454000	0	2047000	49563000	27000	189000	27000	277000	0	34000	0	554000	0	0	0	0	0																					
60330																																									
60545																																									
60554																																									
60648																																									
61122																																									
61355																																									
61476																																									
61757																																									
61832																																									
61953																																									
62044																																									
62110																																									
62147																																									
63050																																									
63069																																									
63201																																									
63573																																									
63733																																									
63742																																									
64150																																									
64552																																									
64730																																									
65205																																									
65513																																									
65559																																									
65858																																									
66154																																									
66275																																									
66677																																									
67142																																									
67151																																									
67209																																									
67254																																									
67656																																									
67870																																									
68671																																									
68756																																									
68831																																									
69333																																									
69678																																									
70218																																									
70414																																									
70638																																									
70955																																									
71073																																									
71457																																									
71859																																									
72258																																									
72351																																									
72454																																									
72678																																									
73116																																									
73152																																									
73554																																									
73956																																									
74056																																									
74140																																									
74403																																									
74449																																									
75259																																									
75446																																									
75455																																									
75633																																									
75651																																									
76153																																									
76443																																									
76854																																									
77150																																									
77253																																									
77422																																									
77851																																									
78157																																									
78241																																									
78559																																									
79042																																									
79127																																									
79145																																									
79257																																									
79855																																									
80150																																									
80374																																									
80431																																									
81175																																									
82033																																									
82257																																									
82350																																									
83151																																									
83236																																									
83375																																									
83638																																									
83834																																									
83852																																									
83955																																									
84046																																									
84541																																									
84804																																									
85052																																									
85472																					449506	5110667	3020898	501089	0	34116	9116276	380	28329	17099	4649	0	141	0	50598	69	39	0	1272	1380	
85931																																									
86349																																									
86675																																									
87047																																									
87159																																									
87234																																									
87476																																									
87579																																									
88231																																									
88259																																									
88352																																									
88455																																									
88950																																									
89032																																									
89135																																									
89854																																									
89957																																									
90047																																									
90177																																									
90328																																									
90337																																									
90579																																									
91615																																									
91754																																									
91950																																									
92144																																									
92676																																									
92706																																									
92902																																									
93244																																									
93543																																									
93619																																									
94139																																									
94522																																									
94755																																									
94858																																									
95051																																									
95677																																									
96553																																									
97055																																									
97279																																									
97457																																									
97804																																									
97943																																									
98351																																									
98463																																									
98717																																									
99143																																									
99376																																									
99442																																									
99536																																									
99853																																									
100236																																									
100357																																									
100562																					303960	3832974	1073890	578329	488	62334	5851975	7437	54992	21512	9941	33	2134	0	96049	0	0	0	0	0	
100777																																									
100843																																									
101019																																									
101037																																									
101439																																									
101671																																									
101738																																									
101952																																									
102333																																									
102342																																									
102539																																									
102557																																									
102874																																									
103134																																									
104234																																									
104542																																									
104971																																									
105026																																									
105473																																									
105530																																									
106359																																									
106452																																									
106676																																									
107244																					8752874	4960233	921310	2038697	0	2244184	18917298	60444	76793	16946	15833	0	34197	0	204213	0	0	0	0	0	
107459																																									
107570																																									
107758																																									
108072																																									
108269																																									
108652																																									
108746																																									
108951																																									
109136																																									
109154																																									
109453																																									
109574																																									
109659																																									
110413																																									
110936																																									
110945																																									
110972																																									
111157																																									
111205																																									
111942																																									
111979																																									
112163																					317318	859774	473857	308687	0	52909	2012545	3898	14197	6185	3909	0	907	0	29096	0	0	0	0	0	
112332																																									
112510																																									
112556																																									
112837	0	0	0	86880701	15249569	80330190	182460460	0	0	0	1126510	636357	1901411	0	3664278	0	0	0	0	0																					
113003																																									
113030																																									
113441																																									
113601																																									
113740																																									
114149																																									
114260																																									
114457																																									
114774																																									
114840																																									
114859																																									
115146																																									
115575																																									
116358																																									
116554																																									
116741																																									
117038																																									
117074																																									
117458																																									
117775																																									
118156																																									
118660																																									
118736																																									
119153																																									
119528																																									
119779																																									
119872																																									
120476																																									
120542																																									
120609																																									
120953																																									
121642																																									
121651																																									
121914																																									
122153																																									
122546																																									
122854																					1601102	6843972	1348821	2653380	0	81038	12528313	32853	59699	2770	50617	0	374	0	146313	0	0	0	0	0	
123075																																									
123374																																									
124344																																									
124830																																									
125154																																									
125855																																									
125873																																									
126012																																									
126049																																									
126375																																									
126553																																									
126834																																									
127055																																									
127224																																									
128258																																									
128904																					245038	5507844	3047629	3169052	0	188232	12157795	4414	55156	28261	33566	0	2769	0	124166	0	0	0	0	0	
129349																																									
129358																																									
129479																																									
129732																																									
129853																																									
129910																																									
130345																																									
130541																					210677	1452945	905461	634204	0	458378	3661665	768	21729	13518	9189	0	7304	0	52508	0	0	0	0	0	
130813																																									
131034																																									
131173																																									
131436																																									
131717																																									
131940																																									
132107																																									
132451																																									
132778																																									
132938																																									
133579																																									
133850																																									
133971																																									
134156																																									
134437																																									
134455																																									
134848																																									
135836																																									
135854																																									
136048																																									
136338																																									
136459																																									
136655																																									
137205																																									
137447																																									
137456																																									
137559																																									
137643																																									
137652																																									
137915																																									
138051																																									
138257																																									
138556																																									
139133																																									
139478																																									
139553																																									
139656																					330065	1437164	613928	759388	4439	97593	3242577	3170	20135	5960	16218	85	2022	0	47590	0	0	0	0	0	
139740																																									
139834																																									
139843																																									
140157																																									
140362																																									
140634																																									
141211																																									
141341																																									
141350																																									
141556																																									
141677																																									
141958																																									
142049																																									
142179																																									
142955																																									
143372																																									
143662																					1135593	10536317	5679338	5127941	0	176942	22656131	13859	77779	31946	121072	0	3908	0	248564	0	0	0	0	0	
143859																																									
143952																																									
144034																																									
144052																																									
144155																																									
144678																																									
144856																																									
144913																																									
145059																																									
145545																																									
145554																																									
145741																																									
145844																																									
146056																																									
146663																																									
146672																					1523548	1733153	3323443	6623445	0	1267044	14470633	9772	11117	58078	17017	0	34661	0	130645	0	0	0	0	0	
147651																																									
147679																																									
147857																																									
147923																																									
148171																																									
148238																																									
148340																																									
148470																																									
148715																																									
148809																																									
148920																																									
149150																																									
150035																																									
150044																																									
150727																																									
151546																																									
151957																																									
152057																																									
152253																																									
152431																																									
152440																																									
153054																																									
153353																																									
154154																																									
154770																																									
155759																																									
156457																																									
156635																																									
156970																																									
157155																																									
157379																																									
157650																																									
157744																																									
157856																																									
158376																																									
158741																																									
159636																					663043	951819	814178	153666	5375	36703	2624784	10245	14032	6918	1790	97	696	0	33778	0	0	0	0	0	
159645																																									
159953																																									
159971																																									
160360																																									
160454																																									
160650																																									
160959																																									
161273																																									
161602																																									
162337																																									
163343																																									
163549																																									
163857																																									
164153																																									
164331																																									
164377																																									
164957																																									
164975																																									
165628																					479744	4031484	1621811	2926076	50305	132197	9241617	11410	51512	15828	39876	4429	1075	0	124130	0	0	0	0	0	
165758																																									
166111																																									
166531																																									
166652																																									
166849																																									
167453																																									
167752																																									
168357																																									
168571																																									
169327																																									
169354																																									
169653																																									
169756																																									
170257																																									
170275																																									
170332																																									
171133																																									
171656																																									
171759																																									
171768																																									
172251																																									
172457																																									
172475																																									
172859																																									
173306																																									
173342																																									
173557																																									
173575																																									
173641																																									
173959																																									
174321																																									
174367																																									
174572																					257383	3185774	2408832	469098	438	1171	6322696	4970	24233	10019	7141	0	8	0	46371	0	0	0	0	0	
175056																																									
