"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	11702	0	7141	21568	0	33940	0	0	0	0	37111	0	433		15316	2293	2560	26799	36678	0	0	228	0	0	3899	7459	9114	939	11357	0	769	261	677	6094	1706	0	0	769	0	true							
242	8049	0	763	11765	0	18953	0	0	0	0	24560	0	3968		4738	5896	1380	18190	20592	0	0	0	0	0	1560	2145	2596	460	3705	0	3067	537	250	2023	3854	0	0	3067	0	true							
279	70566	0	584	39290	0	132342	0	0	0	0	154458	0	1340		28268	9360	14110	131758	153118	0	0	5962	0	0	12253	28067	20881	2009	40319	2994	4334	3995	0	34941	11323	0	0	7328	0	true							
354	2105	0	100	8275	0	8276	0	0	0	0	8162	0	1029		1346	3619	0	8176	7133	0	0	0	0	0	465	1712	0	0	2177	0	261	0	0	831	260	0	0	261	0	false							
457	8569	0	633	10674	0	14343	0	0	0	0	34466	0	5258		6054	16111	2348	13710	29208	0	0	1088	0	0	2518	3268	3098	364	5786	254	0	284	0	3194	538	0	0	254	0	true							
505	111046	1	39601	154283	0	268939	0	0	19995	0	346356	0	78122		17696	176618	3819	229337	268234	0	0	724	0	0	6952	15462	4701	233	22210	24905	4440	2000	0	9652	31344	23988	19995	9349	0	false							
1155	1374	3	9711	44631	0	195894	0	0	0	0	62196	0	990		22613	17634	7066	185825	61206	355	0	2474	0	0	13543	12014	7357	1060	21942	5287	2044	1884	0	11360	9215	1147	0	6285	0	true							
1351	11736	0	10423	30499	0	52304	0	0	0	0	113249	0	9242		35748	28845	9984	41881	104007	0	0	5136	0	0	10698	32692	17329	0	43390	0	7107	4842	0	24971	11949	0	0	7107	0	false							
1454	953	0	37645	269777	0	447013	0	0	0	0	418982	560	34932		34089	326254	26990	409368	383490	0	0	9760	0	0	19002	18182	9922	4617	31167	29833	4805	2948	2465	17635	40051	254	0	7167	0	true							
