"IDRSSD"	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
37																					
242																					
279																					
354																					
457																					
505																					
1155																					
1351																					
1454																					
1669																					
1856																					
2161																					
2732																					
2750																					
3252																					
3458																					
3720																					
3971																					
4156																					
4231																					
5069																					
5135																					
5210	42659	778310	452246	272540	0	12021	1557776	457	10127	3549	4630	0	461	983	20207						
5461																					
5751																					
6039																					
6329																					
7009																					
7045																					
7072																					
7456																					
7634																					
8033																					
8462																					
8631																					
9357																					
9553																					
9807																					
9955																					
10250																					
10849																					
11145																					
11640																					
11837																					
12030																					
12142																					
12311																					
12647																					
12656																					
12946	136128	642735	313023	280765	1745	21570	1395966	1738	10125	5253	7483	77	71	0	24747						
13103																					
13251																					
13457																					
14155																					
14650																					
14753																					
14865																					
14977																					
16551																					
17110																					
17147	491200	3388490	1617439	3493302	0	130819	9121250	17077	74003	42097	62379	0	4219	0	199775	245	0	0	0	245	
17259																					
17950																					
17978																					
18050																					
18827	82155	589838	392487	232036	0	139399	1435915	656	6909	2632	1371	0	753	43	12364						
18836																					
18854																					
19356																					
19936																					
19972																					
20053																					
20633																					
20857																					
21256																					
21359																					
21658																					
22048																					
22543																					
22552																					
22730																					
23456																					
23504	290463	3684592	4206321	1343869	0	21386	9546631	5158	41201	15807	30095	0	499	0	92760	0	0	0	0	0	
23643																					
23755																					
24006	9474	860369	251486	105759	0	310	1227398	133	6878	248	491	0	5	126	7881						
24378																					
24453																					
24659																					
24668	105443	215247	299863	695203	0	9022	1324778	607	1335	447	14381	0	109	1601	18480						
24949																					
25357																					
25647																					
26457																					
26765	127562	1276592	182146	454786	0	7330	2048416	1506	19592	2643	4450	0	14	0	28205						
27070																					
27548																					
27614																					
27847																					
28013	63568	3236152	298221	217161	0	2170	3817272	259	28546	5406	5275	0	7	0	39493	0	0	0	0	0	
28152																					
28675																					
28732																					
29476																					
29636	66633	299442	92515	104634	1875	9756	574855	416	2389	679	752	54	61	0	4351						
29878																					
30052																					
30502																					
30650																					
30810																					
31134																					
31255																					
31657																					
31826																					
31835																					
32234																					
32766																					
32971																					
33147																					
33259																					
33268																					
33370																					
33839																					
33857																					
34434																					
34537	234343	2535717	1226536	1268397	283	171773	5437049	4053	43378	12543	18094	14	3045	0	81127	0	0	0	0	0	
34555																					
34742																					
35057																					
35301																					
35570	483413	14078327	4249274	2086942	0	458170	21356126	12996	195296	19440	41502	0	883	0	270117	25	0	1850	0	1875	
35646																					
35879																					
36456																					
36933																					
37051																					
37341																					
37435	146377	216725	215214	110230	2714	36089	727349	2210	3140	3618	2572	102	457	3010	15109						
37640	205068	1489344	679464	650688	13536	32590	3070690	3155	24243	5977	6202	181	237	0	39995	0	0	0	0	0	
37659																					
37949																					
38740																					
39327																					
39756																					
40033																					
40499																					
40855																					
41553																					
41629																					
41825																					
41955																					
42037																					
42354																					
42372																					
42420	414816	2205758	1828783	1374177	10834	906157	6740525	4285	35795	12933	21466	528	22031	0	97038	0	0	0	0	0	
42448																					
42457																					
43052																					
43351																					
43856																					
43959																					
44040																					
44433																					
44741																					
44750																					
44929																					
45038																					
45047																					
45056																					
45430																					
45458																					
45551																					
45560																					
45775																					
46053																					
46941																					
47247																					
47256																					
47452																					
47500																					
48057																					
48150																					
48374	64907	591958	69491	166148	0	22992	915496	110	5120	717	3976	0	639	1652	12214						
48440																					
49054																					
49148																					
49241																					
49652																					
49858																					
49951																					
50144																					
50461																					
51253																					
51356																					
51459																					
51842																					
52719																					
52951																					
53051																					
54058																					
54656																					
54973	125473	1068620	3011789	845562	0	133015	5184459	1645	28708	11471	20058	0	16370	0	78252	0	0	0	0	0	
55336																					
55635																					
55653																					
55970																					
56258																					
56351																					
56548																					
56717																					
57040																					
57451																					
58225																					
58243																					
58355																					
58551																					
58636																					
58757																					
58971																					
59316	21637	695347	257469	248181	0	155857	1378491	137	9580	2233	1503	0	1887	0	15340						
59352																					
59370																					
59754																					
60143																					
60330																					
60545																					
60554																					
60648																					
61122																					
61355	51678	370309	195333	225360	16507	25268	884455	401	6579	1007	4840	5095	287	348	18557						
61476																					
61757																					
61832																					
61953																					
62044																					
62110																					
62147																					
63050																					
63069																					
63201																					
63573																					
63733																					
63742																					
63751																					
64150																					
64552																					
64730																					
65205																					
65513																					
65559																					
65746																					
65858	105770	537298	365880	289251	0	44636	1342835	1047	6885	3164	3043	0	810	3178	18127						
66154																					
66275																					
66677																					
67142																					
67151																					
67209	120234	363010	333700	164522	0	35573	1017039	2164	4920	1568	1623	0	1408	1231	12914						
67254																					
67656																					
67870																					
68671																					
68756																					
68831																					
69333																					
69678																					
70218																					
70414																					
70638																					
70955																					
71073																					
71457																					
71859																					
72258																					
72351																					
72454																					
72678																					
73116																					
73152																					
73554																					
73956																					
74056																					
74140																					
74403																					
74449																					
75259																					
75446																					
75455																					
75633																					
75651																					
76153																					
76443																					
76854																					
77150																					
77253																					
77422																					
77851																					
78157																					
78241																					
78559																					
79042																					
79127																					
79145																					
79257																					
79855																					
80150																					
80374																					
80431																					
81175																					
82033																					
82257																					
82350																					
82659																					
83151																					
83236																					
83375																					
83638																					
83834																					
83852																					
83955																					
84046																					
84541	99653	404157	129089	325129	1134	8217	967379	1239	4954	1222	3120	0	494	2738	13767						
84804																					
85052																					
85472	415059	4283041	2620146	457133	0	56701	7832080	4627	34781	9795	4400	0	273	0	53876	88	112	0	1409	1609	
85931																					
86349																					
86675																					
87047																					
87159																					
87234																					
87476																					
87579																					
88231																					
88259																					
88352																					
88455																					
88950																					
89032																					
89135																					
89854																					
89957																					
90047																					
90177																					
90328																					
90337																					
90579																					
91615																					
91754																					
91950																					
92144																					
92676																					
92706																					
92902																					
93244																					
93543																					
93619																					
94139																					
94522																					
94755																					
94858																					
95051																					
95677																					
96553																					
97055																					
97279																					
97457																					
97804																					
97943																					
98351																					
98463																					
98717																					
99143																					
99376																					
99442																					
99536	63311	286347	268205	88125	356	24769	731113	294	1152	1656	331	2	626	0	4061						
99853																					
100236																					
100357																					
100562	200714	3194336	979500	499235	488	70621	4944894	4951	51638	21330	5523	40	2580	0	86062	0	0	0	0	0	
100777																					
100843																					
101019																					
101037																					
101439																					
101671																					
101738																					
101952																					
102333																					
102342																					
102539																					
102557																					
102874																					
103134																					
104234																					
104542																					
104971																					
105026																					
105473	103516	310008	473576	198704	0	5413	1091217	723	2566	1751	2298	0	7	4335	11680						
105530																					
106359																					
106452																					
106676																					
