"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
37	10057	0	16553	61107146	BANK OF HANCOCK COUNTY	12855 BROAD STREET 	SPARTA	GA	31087	051	2022-07-25T11:08:47
242	3850	0	0	81220537	FIRST COMMUNITY BANK XENIA-FLORA	260 FRONT STREET 	XENIA	IL	62899	051	2022-07-26T13:47:37
279	28868	0	2523	311972526	MINEOLA COMMUNITY BANK, SSB	215 W BROAD 	MINEOLA	TX	75773	051	2022-07-28T12:12:29
354	14083	0	0	101107475	BISON STATE BANK	223 MAIN STREET 	BISON	KS	67520	051	2022-07-18T02:26:22
457	10202	0	0	91208332	LOWRY STATE BANK	400 FLORENCE AVE. 	LOWRY	MN	56349	051	2022-08-11T14:54:08
505	6959	1253	0	21304675	BALLSTON SPA NATIONAL BANK	87 FRONT STREET 	BALLSTON SPA	NY	12020	051	2022-07-28T14:06:51
1155	17639	0	0	104900116	FIRST STATE BANK & TRUST COMPANY	1005 EAST 23RD 	FREMONT	NE	68025	051	2022-07-27T12:51:13
1351	9392	0	0	81513969	BANK OF GRANDIN	403 5TH STREET 	GRANDIN	MO	63943	051	2022-07-12T17:04:08
1454	19184	15359	0	102301199	HILLTOP NATIONAL BANK	300 COUNTRY CLUB ROAD 	CASPER	WY	82609	051	2022-07-27T19:07:50
1669	3384	13541	0	111900578	LIBERTY NATIONAL BANK IN PARIS, THE	305 LAMAR AVENUE 	PARIS	TX	75460	051	2022-07-15T12:13:46
1856	22430	0	0	103105446	WASHITA STATE BANK	701 S HIGHWAY 44 	BURNS FLAT	OK	73624	051	2022-07-27T15:25:26
2161	23597	17106	0	111909870	LAMAR NATIONAL BANK	200 S. COLEGIATE DRIVE 	PARIS	TX	75460	041	2022-07-29T15:48:38
2732	17230	14688	0	71004446	ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION	3400 WEST LAWRENCE AVENUE 	CHICAGO	IL	60625	051	2022-07-21T11:27:26
2750	5408	0	0	104901940	GENOA COMMUNITY BANK	502 WILLIARD AVENUE 	GENOA	NE	68640	051	2022-07-28T14:13:40
3252	5410	8521	0	104102781	FIRST NATIONAL BANK OF GORDON, THE	134 NORTH MAIN 	GORDON	NE	69343	051	2022-07-28T16:23:43
3458	16103	0	0	101918169	FARMBANK	1 SOUTH LINCOLN STREET 	GREEN CITY	MO	63545	051	2022-07-22T17:50:17
3720	15671	0	0	53206738	BANK OF CLARENDON, THE	106 SOUTH BROOK STREET 	MANNING	SC	29102	051	2022-07-27T16:27:25
3971	28865	702518	2518	291970033	MIDCOUNTRY BANK	7825 WASHINGTON AVENUE SOUTH SUITE 120	BLOOMINGTON	MN	55439	051	2022-07-29T11:39:08
4156	13157	0	0	101102124	KANZA BANK	151 NORTH MAIN 	KINGMAN	KS	67068	051	2022-07-25T11:07:05
4231	16440	0	0	61212345	FARMERS AND MERCHANTS BANK	104 NORTH MAIN STREET 	SYLVANIA	GA	30467	051	2022-07-15T12:48:41
5069	24332	0	0	122237599	FIRST CREDIT BANK	9255 SUNSET BOULEVARD 	WEST HOLLYWOOD	CA	90069	051	2022-07-27T17:51:43
5135	15496	0	14097	61202931	FIRST STATE BANK OF BLAKELY	2213 SOUTH MAIN STREET 	BLAKELY	GA	39823	051	2022-07-28T15:12:05
5210	7506	0	0	31309945	ACNB BANK	16 LINCOLN SQUARE 	GETTYSBURG	PA	17325	051	2022-07-29T12:18:00
5461	19434	0	0	121125660	BAC COMMUNITY BANK	517 EAST WEBER AVENUE 	STOCKTON	CA	95202	051	2022-09-19T20:19:39
5751	15194	0	0	101106625	KEARNY COUNTY BANK	221 NORTH MAIN STREET 	LAKIN	KS	67860	051	2022-07-29T18:08:27
6039	15699	0	14102	61211964	PINELAND BANK	501 W 12TH ST 	ALMA	GA	31510	041	2022-07-29T11:00:38
6329	9923	0	13430	53206741	ANDERSON BROTHERS BANK	101 NORTH MAIN STREET 	MULLINS	SC	29574	041	2022-07-28T11:25:29
7009	20015	0	0	21203970	BESSEMER TRUST COMPANY	100 WOODBRIDGE CENTER DRIVE 	WOODBRIDGE	NJ	070951191	051	2022-07-28T14:18:52
7045	5779	0	0	83905326	PEOPLES BANK, THE	100 NORTH MAIN STREET 	BROWNSTOWN	IN	47220	041	2022-07-28T10:15:33
7072	28870	702528	2528	221972234	WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION	23 WALLKILL AVE. 	WALLKILL	NY	12589	051	2022-07-27T15:55:31
7456	13962	0	0	104110977	BANK OF HARTINGTON	229 NORTH BROADWAY 	HARTINGTON	NE	68739	051	2022-07-20T16:53:00
7634	15904	0	0	61112034	FOUR COUNTY BANK, THE	959 MAIN STREET 	ALLENTOWN	GA	31003	051	2022-07-28T14:18:32
8033	23090	0	15605	65202830	PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH	805 HOSPITAL ROAD 	NEW ROADS	LA	70760	051	2022-07-25T17:02:06
8462	3388	11595	0	111318584	PERRYTON NATIONAL BANK, THE	825 SOUTH MAIN STREET 	PERRYTON	TX	790703556	051	2022-09-19T15:32:56
8631	847	0	0	51501765	PLEASANTS COUNTY BANK, THE	215 WASHINGTON STREET 	SAINT MARYS	WV	26170	051	2022-07-19T15:41:12
9357	20268	0	0	91014924	FIDELITY BANK	7600 PARKLAWN AVENUE 	EDINA	MN	55435	051	2022-07-25T11:19:47
9553	14311	0	0	104907708	ADAMS COUNTY BANK	401 N SMITH AVE 	KENESAW	NE	68956	051	2022-07-15T18:10:26
9807	6423	0	9315	21204416	AMBOY BANK	3590 U.S. HIGHWAY 9 SOUTH 	OLD BRIDGE	NJ	08857	041	2022-07-25T08:48:54
9955	15899	0	0	101101992	FUSION BANK	116 WEST 6TH STREET 	LARNED	KS	67550	051	2022-07-29T11:35:34
10250	1607	0	0	91903831	BANK OF ELK RIVER, THE	630 MAIN ST. 	ELK RIVER	MN	55330	051	2022-07-11T14:55:06
10849	15050	0	0	82902003	FIRST STATE BANK	101 SOUTH CENTER STREET 	LONOKE	AR	72086	051	2022-07-28T13:20:47
11145	8172	0	11663	72405604	LAKE-OSCEOLA STATE BANK	790 NORTH MICHIGAN AVENUE 	BALDWIN	MI	49304	041	2022-07-27T08:43:17
11640	19070	15284	0	84201029	FIRST NATIONAL BANK OF CLARKSDALE	402 EAST SECOND STREET 	CLARKSDALE	MS	38614	051	2022-07-27T15:59:31
11837	5709	0	17705	61107861	FARMERS BANK, THE	202 SOUTH MAIN STREET 	GREENSBORO	GA	30642	051	2022-07-28T11:26:48
12030	17011	0	12295	61212866	FNB SOUTH	423 WEST 12TH STREET 	ALMA	GA	31510	051	2022-07-28T10:01:57
12142	12201	0	0	84202280	CLEVELAND STATE BANK, THE	110 COMMERCE AVENUE 	CLEVELAND	MS	38732	051	2022-07-12T11:28:40
12311	6560	7745	0	44000024	HUNTINGTON NATIONAL BANK, THE	17 SOUTH HIGH STREET 	COLUMBUS	OH	43215	031	2022-07-29T18:04:44
12647	10012	0	0	75904377	PORTAGE COUNTY BANK, THE	1155 COUNTY ROAD D 	ALMOND	WI	549099777	051	2022-07-19T14:23:38
12656	14944	0	0	101107624	EMERALD BANK	333 N. MAIN STREET 	BURDEN	KS	67019	051	2022-07-26T20:03:29
12946	1291	0	0	82901635	FARMERS BANK & TRUST COMPANY	200 EAST MAIN STREET 	MAGNOLIA	AR	71753	051	2022-08-18T14:12:20
13103	23622	0	8406	211370859	BRISTOL COUNTY SAVINGS BANK	35 BROADWAY 	TAUNTON	MA	02780	041	2022-07-29T15:48:35
13251	10185	0	0	91907374	ELYSIAN BANK	121 EAST MAIN STREET 	ELYSIAN	MN	56028	051	2022-07-28T17:08:13
13457	5425	0	0	104107786	BANK OF LEWELLEN	302 MAIN STREET 	LEWELLEN	NE	69147	051	2022-07-21T12:59:46
14155	9378	0	0	101902146	F & C BANK	1006 EAGLE CREST DRIVE 	HOLDEN	MO	64040	051	2022-08-17T12:54:36
14650	16795	0	0	103112730	BANK OF LOCUST GROVE	124 EAST MAIN STREET 	LOCUST GROVE	OK	74352	051	2022-07-26T17:35:15
14753	18101	0	0	101104711	FARMERS STATE BANK OF BUCKLIN, KANSAS, THE	111 NORTH MAIN STREET 	BUCKLIN	KS	67834	051	2022-07-21T17:05:23
14865	16243	0	0	123203535	BANK OF EASTERN OREGON	279 NORTH MAIN STREET 	HEPPNER	OR	97836	051	2022-08-11T13:46:27
14977	30291	0	0	311372252	FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB	301 X.I.T. DRIVE 	LITTLEFIELD	TX	79339	041	2022-07-14T17:09:31
16551	10956	0	0	91907471	NORTHVIEW BANK	510 MAIN STREET 	SANDSTONE	MN	55072	051	2022-07-20T10:38:40
17110	26189	0	0	36002085	HAVERFORD TRUST COMPANY, THE	100 MATSONFORD ROAD 3 RADNOR CORPORATE CENTER SUITE 450	RADNOR	PA	19087	041	2022-08-31T10:39:20
17147	4365	0	11365	74900657	FIRST MERCHANTS BANK	200 EAST JACKSON STREET 	MUNCIE	IN	47305	041	2022-07-29T08:27:36
17259	26260	20838	0	103102494	FIRST NATIONAL BANK IN MARLOW, THE	301 WEST MAIN STREET 	MARLOW	OK	73055	051	2022-07-27T17:11:56
17950	2224	10844	0	92903542	BANK OF BRIDGER, NATIONAL ASSOCIATION	101 S. MAIN STREET 	BRIDGER	MT	59014	051	2022-07-14T17:11:12
17978	29904	704307	4307	264271280	ELIZABETHTON FEDERAL SAVINGS BANK	112-114 NORTH SYCAMORE STREET 	ELIZABETHTON	TN	376433326	051	2022-07-28T15:01:18
18050	3091	4093	0	114904953	FIRST NATIONAL BANK OF BASTROP, THE	489 HIGHWAY 71 WEST 	BASTROP	TX	786023217	051	2022-07-28T15:58:08
18827	7900	5073	0	43311497	NEXTIER BANK, NA	222 MARKET STREET 	KITTANNING	PA	16201	051	2022-07-28T14:40:45
18836	9998	0	12053	52203703	CAPON VALLEY BANK	2 W MAIN ST 	WARDENSVILLE	WV	26851	051	2022-08-15T16:11:59
18854	4147	0	0	103103778	BANK7	1039 NW 63RD STREET 	OKLAHOMA CITY	OK	73116	041	2022-09-06T10:39:09
