"IDRSSD"	RCON9224	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	ID_LEI	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
37		20220630	BANK OF HANCOCK COUNTY	10057	SPARTA	GA	31087	
242		20220630	First Community  Bank, Xenia-Flora	3850	Xenia	IL	62899	
279		20220630	MINEOLA COMMUNITY BANK S. S. B.	28868	MINEOLA	TX	75773	
354	549300T61O0X0RJMQ375	20220630	Bison State Bank	14083	Bison	KS	675200328	
457		20220630	LOWRY STATE BANK	10202	LOWRY	MN	56349	
505	549300QY4UCP33T94N09	20220630	Ballston Spa National Bank	6959	Ballston Spa	NY	12020	
1155		20220630	First State Bank & Trust Company	17639	Fremont	NE	68025	
1351		20220630	Bank of Grandin	09392	Grandin	MO	63943	
1454		20220630	Hilltop National Bank	19184	Casper	WY	82609	
1669		20220630	The Liberty National Bank In Paris	3384	Paris	TX	75460	
1856		20220630	Washita State Bank	22430	Burns Flat	OK	73624	
2161		20220630	LAMAR NATIONAL BANK	23597	PARIS	TX	75460	
2732	25490001F0A9F7BV6B05	20220630	Albany Bank & Trust Co., National Association	17230	Chicago	IL	60625	
2750		20220630	Genoa Community Bank	5408	Genoa	NE	68640	
3252		20220630	FIRST NATIONAL BANK OF GORDON	5410	GORDON	NE	69343	
3458		20220630	farmbank	16103	Green City	MO	63545	
3720	549300LPLWFD36TB5P09	20220630	Bank Of Clarendon, The	15671	Manning	SC	29102	
3971	549300WIWUF4JZ6O0629	20220630	Midcountry Bank	28865	Bloomington	MN	55439	
4156		20220630	Kanza Bank	13157	Kingman	KS	67068	
4231		20220630	FARMERS AND MERCHANTS BANK	16440	SYLVANIA	GA	30467	
5069		20220630	First Credit Bank	24332	West Hollywood	CA	90069	
5135		20220630	First State Bank of Blakely	15496	Blakely	GA	39823	
5210	5493005CFFMKTUKLO381	20220630	ACNB Bank	7506	Gettysburg	PA	173250000	
5461		20220630	BAC Community Bank	19434	Stockton	CA	95202	
5751		20220630	Kearny County Bank	15194	Lakin	KS	67860	
6039		20220630	Pineland Bank	15699	ALMA	GA	31510	
6329	549300M4GZM7GG3EIV16	20220630	Anderson Brothers Bank	9923	Mullins	SC	29574	
7009	549300NEQHXUX4MZIH22	20220630	Bessemer Trust Company	20015	Woodbridge	NJ	70951191	
7045		20220630	The Peoples Bank	5779	Brownstown	IN	47220	
7072		20220630	Wallkill Valley Federal Savings And Loan Association	28870	Wallkill	NY	12589	
7456		20220630	Bank of Hartington	13962	Hartington	NE	68739-0077	
7634		20220630	THE FOUR COUNTY BANK	15904	ALLENTOWN	GA	31003	
8033	254900DIGH8B5QJNCC06	20220630	Peoples Bank And Trust Company Of Pointe Coupee Parish	23090	New Roads	LA	70760	
8462		20220630	Perryton National Bank	3388	Perryton	TX	79070	
8631		20220630	The Pleasants County Bank	847	Saint Marys	WV	26170	
9357		20220630	Fidelity Bank	20268	Edina	MN	55435	
9553		20220630	ADAMS COUNTY BANK	14311	KENESAW	NE	689560149	
9807	549300APYWQY03RLT772	20220630	Amboy Bank	6423	Old Bridge	NJ	08857	
9955		20220630	Fusion Bank	15899	Larned	KS	67550	
10250	549300M5DZ6P9KNT7H33	20220630	Bank Of Elk River, The	1607	Elk River	MN	55330	
10849		20220630	FIRST STATE BANK	15050	LONOKE	AR	72086	
11145		20220630	Lake-Osceola State Bank	8172	Baldwin	MI	49304	
11640		20220630	FIRST NATIONAL BANK OF CLARKSDALE	19070	Clarksdale	MS	38614	
11837		20220630	The Farmers Bank	5709	Greensboro	GA	30642	
12030		20220630	00	17011	Alma	GA	31510	
12142		20220630	The Cleveland State Bank	12201	Cleveland	MS	38732	
12311	2WHM8VNJH63UN14OL754	20220630	The Huntington National Bank	6560	Columbus	OH	43215	
12647		20220630	The Portage County Bank	10012	Almond	WI	54909	
12656		20220630	EMERALD BANK	14944	BURDEN	KS	67019	
12946		20220630	Farmers Bank & Trust Company	1291	Magnolia	AR	71753	
13103		20220630	Bristol County Savings Bank	23622	Taunton	MA	02780	
13251		20220630	Elysian Bank	10185	Elysian	MN	56028	
13457		20220630	Bank Of Lewellen	5425	Lewellen	NE	69147	
