"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							6376	1685	51665	0	0	206	0	2586	84231	73039	136	73175	0	954	0	0	11056	1200	84231	0	0	11774	0	0	3500	0	23966	49073			0	22667	21713	-5418	0	0	0	0	11056	0	0	
242																																							3100	1827	18077	0	0	540	0	435	52252	45720	21	49034	0	174	3293	0	3218	120	52252	0	0	4974	0	0	120	0	13509	32211			0	27243	27069	-1996	1204	0	0	0	3218	0	0	
279																																							7419	6261	68891	0	470	6709	209	11004	373559	302015	2498	331046	0	1639	26533	0	42513	1	373559	0	0	32723	0	0	15276	0	61199	240816			0	232026	230387	-5487	12170	0	0	0	42513	0	30039	
354																																							9050	1203	832	0	0	84	0	621	51192	30123	337	45599	0	216	15139	0	5593	100	51192	0	0	823	0	0	4686	7442	12084	18039			0	20498	20282	-16	11678	0	0	0	5593	0	0	
457																																							1492	1101	1412	0	0	196	31	881	65910	52787	118	60405	0	685	7500	0	5505	60	65910	0	0	1602	0	0	3940	0	12370	40417			0	61298	60613	-97	178	0	0	0	5505	6	0	
505																																							57425	4423	71230	0	1886	9000	0	17701	734047	653128	9106	672234	56	8285	10000	0	61757	6480	734047	0	0	40128	0	0	18403	0	169948	483180			0	580667	572382	-3254	0	0	0	0	61813	0	0	
1155																																							21476	14870	64639	0	9394	7399	0	9757	441928	395774	2145	397919	0	3720	0	0	44009	1600	441928	0	0	24502	0	0	23696	1954	74527	321247			0	316159	312439	-5789	0	0	0	0	44009	0	0	
1351																																							7921	4684	8468	0	0	4409	371	2053	198979	169414	492	169906	0	1159	0	0	29073	240	198979	0	0	29040	0	0	530	0	30672	138742			0	103763	102604	-737	0	0	0	0	29073	0	68469	
1454																																							12216	16065	508223	0	0	4112	0	15574	956622	902070	3483	905553	0	5129	0	0	51069	1000	956622	0	0	110793	0	0	1214	1406	299884	602186			0	404076	398947	-61938	0	0	0	0	51069	79	0	
