"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
37												
242												
279												
354												
457												
505												
1155												
1351												
1454												
1669												
1856												
2161												
2732												
2750												
3252												
3458												
3720												
3971												
4156												
4231												
5069												
5135												
5210												
5461												
5751												
6039						46603	30	0	3691	39912	2970	
6329						153225	54	0	20017	8442	124712	
7009												
7045												
7072												
7456												
7634												
8033												
8462												
8631												
9357												
9553												
9807						377045	7154	0	5782	6748	357361	
9955												
10250												
10849												
11145						53853	1	0	3958	23200	26694	
11640												
11837												
12030												
12142												
12311	3685995	1347849	57764	165734	2114648	3667400	492210	39169	855639	165734	2114648	
12647												
12656												
12946												
13103						40810	14384	0	4266	8878	13282	
13251												
13457												
14155												
14650												
14753												
14865												
14977												
16551												
17110												
17147						345649	918	0	76771	175210	92750	
17259												
17950												
17978												
18050												
18827												
18836												
18854						125428	18423	0	5484	2491	99030	
19356												
19936												
19972												
20053												
20633												
20857												
21256												
21359												
21658												
22048												
22543												
22552												
22730												
23456												
23504						279870	118	0	55016	31848	192888	
23643												
23755												
24006												
24378												
24659												
24668												
24949												
25357												
25647						35116	0	0	2142	9012	23962	
26457												
26765												
27070												
27548												
27614												
27847												
28013						110232	0	0	10271	8517	91444	
28152												
28675												
28732												
29476												
29636												
29878						292120	0	0	2232	19275	270613	
30052												
30502												
30650												
30810	11319229	651504	0	607617	10060108	11319229	651272	0	232	607617	10060108	
31134												
31255						50320	6265	0	1000	583	42472	
