"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT89	RCONMT91	RCONMT93	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Not fully insured, affiliate sweep d	Fully insured, non-affiliate sweep d	Not fully insured, non-affiliate swe	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	12281	0	8246	23966	0	36649	0	0	0	0	36390	0	469		14434	2530	2349	28403	35921	0	0	225	0	0	3074	10085	6108	592	13159	520	516	382	302	5424	1721	0	0	1036	0	0	0	0	0	0	true							
242	8219	0	1060	13235	0	21639	0	0	0	0	24081	0	4149		4085	6065	1371	20579	19932	0	0	0	0	0	1366	2263	1722	287	3619	0	3626	531	0	1554	4157	0	0	3626	0	0	0	0	0	0	true							
279	82685	0	521	61204	0	138223	0	0	0	0	163792	0	1186		24164	12598	12197	137702	162606	0	0	5095	0	0	9775	22076	21370	1295	31851	5646	4017	4329	0	30354	13992	0	0	9663	0	0	0	0	0	0	true							
354	2465	0	148	12084	0	12084	0	0	0	0	18039	0	983		1392	6455	0	11936	15913	0	1143	0	0	0	598	1607	1295	2879	2205	261	0	1492	988	4987	2740	0	0	261	4122	0	0	0	0	0	true							
457	8950	0	502	12371	0	16542	0	0	0	0	36246	0	4639		5859	17605	2216	16040	31607	0	0	991	0	0	2212	3833	2609	492	6045	0	545	0	0	3287	545	0	0	545	0	0	0	0	0	0	true							
505	119365	4	45583	169948	0	280811	0	0	0	0	372317	0	88274		17383	214302	3699	235224	284043	0	0	771	0	0	7953	15966	4008	655	23732	6666	2759	641	0	11199	10066	23629	0	9425	0	23629	0	0	0	0	false							
1155	1186	1	17323	85938	0	298510	0	0	0	0	97264	0	9552		26844	42978	9125	280831	87712	355	0	2865	0	0	13059	14808	11473	1571	24552	5358	3931	2898	0	14069	12187	1603	0	8560	0	0	0	858	0	858	true							
1351	12180	0	11459	30672	0	52828	0	0	0	0	116586	0	10057		34277	33309	10089	41369	106529	0	0	5003	0	0	11614	31742	15982	0	43356	1053	9107	1598	0	25062	11758	0	0	10160	0	0	0	0	0	0	false							
1454	1072	0	38583	307259	0	490353	0	0	0	0	411717	671	27071		33545	315948	26633	451522	383975	248	0	10169	0	0	19383	18386	10575	4794	30540	30926	4060	3788	2785	19593	41559	8684	0	7495	0	0	0	5140	0	5140	true							
1669	50572	0	36068	98619	0	195577	0	0	0	0	149264	0	359		22668	46605	9831	159464	133852	45	15053	3973	0	0	12050	17665	8404	3266	29063	4605	2815	2747	533	18718	10700	0	0	7154	0	0	0	0	0	0	false							
1856	1495	0	1549	4571	0	7975	0	0	0	0	31816	0	4547		3264	16805	0	6426	21577	0	5692	0	0	0	3331	5905	1268	0	9236	1290	1467	256	0	7240	3013	0	0	2757	496	0	0	0	0	0	false							
2161	69872	0	10485	108994	0	134525	0	0	35911	0	195093	0	29300		36523	75669	7398	124009	165793	31	0	0	35911	0	3956	7698	31913	191	11654	875	3876	279	764	7236	5794	47506	0	4751	0	0	0	46142	0	40387	true							
2732	68154	0	5462	179704	0	244106	0	0	0	0	358501	0	11273		26868	135379	11427	238644	347228	0	0	4180	0	0	15925	32618	6682	685	48418	59370	35271	4417	0	29042	99058	0	0	94641	0	0	0	0	0	0	true							
2750	20876	0	6571	7316	0	22284	0	0	0	0	34799	0	7229		5030	909	1765	15713	27570	0	0	856	0	0	4801	3054	3256	122	7356	602	0	1179	0	6203	1781	0	0	602	0	0	0	0	0	0	true							
3252	20719	0	108190	54396	0	148302	0	0	14132	0	110014	0	45412		8107	19669	5672	40112	58133	0	6469	0	10813	10813	9364	18465	3686	2092	27829	17476	18214	328	0	25500	36019	4045	3319	35690	5659	0	0	2555	0	2555	false							
3458	4696	0	2908	10304	0	18161	0	0	2000	0	45730	0	8071		9149	13180	1078	15253	37659	0	0	266	2000	2000	6214	11752	3813	489	17966	586	4129	870	0	13121	5585	0	0	4715	0	0	0	0	0	0	true							
3720	93475	0	31619	103549	0	216204	0	0	0	0	129889	0	7969		16035	3436	5662	184585	121920	0	0	1911	0	0	7926	15956	1505	0	23882	1706	5474	412	0	9352	7592	0	0	7179	0	0	0	0	0	0	true							
3971	130441	0	199	167178	0	272962	0	0	203336	0	561731	0	2153		257243	116439	13466	272763	353002	0	206576	3702	203336	163739	83301	131987	78433	4391	215287	1349	7310	6689	1391	40869	16739	0	0	8659	3075	0	0	0	0	0	true							
4156	34248	0	15151	55933	0	125856	0	0	0	0	126445	47	15036		14519	44122	3690	110696	109629	9	1733	1639	0	0	17900	13683	7544	2657	31583	1619	3086	601	986	27264	6292	15597	0	4705	747	0	8776	0	0	8776	true							
4231	26105	0	21042	40712	0	66181	0	0	0	0	68086	0	2978		12602	11558	12195	45139	65108	0	0	8143	0	0	2863	10771	4408	6837	13628	273	1943	1104	2223	12277	5543	0	0	2216	0	0	0	0	0	0	true							
5069	39440	0	0	43587	0	45338	0	0	120204	0	252610	6000	987		54072	58641	1054	45338	179995	0	65628	711	120204	77710	13141	45660	46863	99	58801	8520	14053	25193	1000	51691	48766	0	0	22573	7338	0	0	0	0	0	false							
5135	38854	0	50947	110427	0	219938	0	0	18551	0	267248	0	14220		66924	64144	18320	168991	234011	0	19017	9815	18551	0	30233	73055	22610	0	103288	14131	23600	621	0	58974	38352	0	0	37731	0	0	0	0	0	0	true							
5210	414794	36	191730	619712	0	1232112	0	0	0	0	1138626	0	93834		192114	351193	75231	1038855	1044792	1491	0	21392	0	0	69925	145523	63607	11101	213049	22932	43874	11341	4336	98042	82483	34546	0	66307	2437	0	0	0	0	0	true							
5461	485749	0	30799	70421	0	70421	0	0	0	0	696165	0	20532		4656	189557	3002	39622	675633	0	0	796	0	0	3280	5675	1176	340	8955	5123	5265	0	0	5815	10388	76395	0	10388	0	0	0	76395	0	76395	true							
5751	21276	0	12925	45792	0	88633	0	0	3499	0	128257	0	18495		14770	72659	6045	75708	107500	0	2262	2456	1984	744	9247	12308	7167	1357	21555	2200	502	1541	0	15309	4243	7273	1019	2701	994	0	0	0	0	0	true							
6039	57410	0	16986	186199	0	218390	0	0	0	0	167690	0	7071		36019	37563	9768	201404	160619	0	0	2296	0	0	14247	38664	10503	925	52911	2544	3904	1929	0	28320	8377	0	0	6448	99	0	0	0	0	0	true							
