"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																				0	45	1717	2586	0	227	0	0	0	597	0	0	0	0	0	0	0	0	0				
242																				0	204	0	435	0	6	0	0	0	225	0	0	0	0	0	0	0	0	0				
279																				9	2044	1773	11004	111	133	0	0	0	985	0	0	13	0	0	0	6069	0	0				
354																				0	405	0	621	0	135	0	0	0	81	105	0	0	0	0	0	0	0	0				
457																				0	423	0	881	0	74	0	0	0	384	0	0	0	0	0	0	0	0	0				
505																				0	5110	1261	17701	0	4335	1632	0	0	1879	0	0	0	0	0	0	5116	0	0	PENSION ASSET			
1155																				0	983	0	9757	643	784	0	68	0	1903	0	0	0	0	0	0	6087	0	0		Bond Receivable		
1351																				0	237	0	2053	125	178	0	0	0	1638	0	0	0	0	0	0	0	0	0				
1454																				0	1444	0	15574	1347	2400	757	0	0	3608	0	0	0	0	0	0	8122	0	0	PROCESSING DEPOSIT			
1669																				0	420	2266	19277	615	620	0	0	0	2166	0	0	0	0	0	0	12899	0	906				
1856																				0	218	0	649	92	141	0	0	0	290	0	0	0	0	0	0	0	0	0	0			
2161																				0	1453	3758	15899	202	1045	0	0	802	1402	0	0	0	0	0	0	8241	0	0			Investment/ Partnerships	
2732																				0	1140	1611	7103	0	2696	1972	0	0	1656	0	0	0	0	0	0	0	0	0	Right To Use - Lease			
2750																				0	233	0	3659	185	185	0	0	0	699	0	0	0	0	0	0	2542	0	0				
3252																				0	661	0	4449	365	910	439	0	0	2878	0	0	0	0	0	0	0	0	0	NP DDA Debits			
3458																				0	376	313	2725	0	65	0	0	0	607	0	0	0	0	0	0	1364	0	0				
3720																				0	320	2538	13961	226	269	0	0	0	1101	0	0	0	0	0	0	6866	0	2867				
3971																				0	5014	5661	33957	760	4323	3149	0	0	3815	0	77	136	0	0	0	15144	0	0	Total A/R from Holding Co or affiliate			
4156																				0	428	240	8669	0	317	0	0	0	1186	0	0	0	0	0	0	5406	0	1092				
4231																				0	0	1222	6082	164	267	0	0	0	527	0	0	0	0	0	0	4066	0	0				
5069																				0	0	553	7877	1601	6025	0	0	0	1299	0	0	4424	0	0	0	0	0	0				
5135																				10	1172	1431	15175	966	1088	63	49	0	4503	0	0	0	0	0	0	6981	0	0	Credit Card Clearing	Passport Settlement		
5210																				0	1649	15318	104312	0	16357	11749	0	0	6038	0	0	0	0	0	0	58477	0	6473	Prepaid Pension			
5461																				0	4516	1195	20679	1047	2523	0	0	0	3124	0	0	0	0	0	0	9321	0	0				
5751																				0	452	490	8922	283	496	172	0	0	1861	0	0	0	0	0	0	3736	364	1523	Receivable from Bond Security			
6039																				0	249	1045	6509	864	1455	563	0	0	1684	0	0	0	0	0	0	2076	0	0	ANNUITY ASSET			
6329																				791	720	8381	41712	5417	10183				5406		142			0		14189	0	2833				
7009																				0	0	252	9847	0	7041	0	0	0	2554	0	0	4634	0	0	0	0	0	0				
7045																				0	669	4759	7203	217	483	0	0	0	1292	0	0	0	0	0	0	0	0	0				
7072																				0	2813	2363	19398	478	4018	2644	410	0	1432	0	0	0	0	0	0	8772	0	0	Deferred Compensation	Deferred Commissions		
7456																				0	574	0	3970	0	177	140	0	0	1445	0	0	0	0	0	0	1774	0	0	Health Insurance			
7634																				0	81	0	691	104	226	122	0	0	384	0	0	0	0	0	0	0	0	0	Late fees receivable			
8033																				0	1814	724	6749	76	458	163	0	0	2069	0	12	0	0	0	0	1684	0	0	All Other Assets			
8462																				0	21	0	863	0	26	0	0	0	816	0	0	0	0	0	0	0	0	0				
8631																				0	343	197	3335	36	36	0	0	0	169	0	0	0	0	0	0	2590	0	0				
9357																				0	793	0	4762	660	2394	1608	0	0	1575	0	0	0	0	0	0	0	0	0	Suspense Accounts			
9553																				0	3045	0	9496	167	318	151	0	0	2199	0	0	0	0	0	0	2930	0	1004	Nebraska Fund XV Investment			
9807																					5611	0	146932	1042	1247				7157					0		37806	95111	0				
9955																				0	2868	253	4130	29	29	0	0	0	980	0	0	0	0	0	0	0	0	0				
10250																				0	2942	0	6314	668	802	0	0	0	2218	0	107	0	0	0	0	352	0	0				
10849																				0	607	1678	3810	167	442	0	0	0	1083	0	99	0	0	0	0	0	0	0				
11145																					1325	4458	16692	1157	2656		1499		1158					0		4359	0	2736		Great Lakes Capital Fund		
11640																				0	2316	4164	23305	535	2771	0	0	0	2931	0	0	0	0	0	0	11123	0	0				
11837																				0	72	2064	2549	0	29	0	0	0	384	0	0	0	0	0	0	0	0	0				
12030																				0	12490	2163	19000	669	882	0	0	0	2091	0	0	0	0	0	0	1374	0	0				
12142																				0	708	5822	14571	248	811	0	0	0	1574	0	37	0	0	0	0	2961	0	2695				
12311	0	701648	451064	6514072	0	2200892	0	0	0	469228	0	0	0	0	0	0	724218	882209	1084813		701648																					
12647																				0	2015	0	2857	0	158	0	0	0	684	0	0	0	0	0	0	0	0	0				
