"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	493					45	0	51665					0	0	0			0	41007	0	0										0		
242	0	3001					204	0	18077					3293	0	0			0	9445	0	0										0		
279	0	14863					2044	30039	68891					26533	0	0			2025	13585	0	0										0		
354	0	338					405	0	832					15139	0	0			0	0	0	0										0		
457	0	1412					423	0	1412					7500	0	0			0	0	0	0										6		
505	0	18975					5110	0	71230					10000	0	0			0	23884	0	0										0		
1155	0	2144					983	0	64639					0	0	0			0	44460	0	0										0		
1351	0	0					237	68469	8468					0	0	0			9982	0	0	0										0		
1454	0	37681					1444	0	508223					0	0	0			0	144554	0	0										79		
1669	0	46971					420	29409	72924					0	0	0			29409	0	0	0										0		
1856	0	0					218	1000	10423					0	0	0			0	0	0	0										0		
2161	0	1951					1453	0	116004					7000	0	0			0	37978	0	0										0		
2732	0	3950					1140	0	48514					0	0	0			0	25563	0	0										0		
2750	0	487					233	0	15672					400	0	0			0	8372	0	0										38		
3252	0	72439					661	0	156627					3000	0	0			0	42967	0	0										0		
3458	0	569					376	1699	17367					3500	0	0			1699	8989	0	3500										0		
3720	0	14268					320	42106	85698					0	0	0			34355	0	0	0										0		
3971	0	29252					5014	0	121630					97240	0	0			0	4442	0	0										915		
4156	0	3310					428	0	60874					1500	0	0			0	39874	0	8775										117		
4231	0	9181					0	0	56441					0	0	0			0	28983	0	0										0		
5069	0	0					0	0	8199					0	0	0			0	1684	0	0										915		
5135	0	6399					1172	0	93175					23272	0	0			0	1606	0	0										0		
5210	0	0					1649	66329	529407					3026	0	0			61082	0	0	28959										975		
5461	4744	0					4516	109672	250370					0	0	0			0	120756	0	0										0		
5751	0	1747					452	6250	82682					10000	0	0			0	46085	0	0										162		
6039	0	32287					249	0	35474					0	0	0			0	1469	0	0										0		
6329	0	0					720	0	152908					0	0	0			0	11534	0	0										0		
7009	0	246522					0	0	410763					0	0	0			0	73384	0	0										12011		
7045	0	0					669	387	149521					5000	0	0			387	63320	0	0										0		
7072	0	0					2813	32388	39112					3320	0	0			6122	6115	0	0										0		
7456	0	5425					574	0	44715					0	0	0			0	35736	0	0										0		
7634	0	583					81	0	13649					0	0	0			0	6296	0	0										0		
8033	0	0					1814	0	9748					5136	0	0			0	1941	0	0										0		
8462	0	3769					21	0	94901					0	0	0			0	26075	0	0										0		
8631	0	0					343	0	18470					0	0	0			0	305	0	0										0		
9357	0	12556					793	0	35540					0	0	0			0	0	0	0										901		
9553	0	2367					3045	30438	45179					67483	0	0			30438	12969	0	0										0		
9807	0	167602					5611	89867	642622					0	0	0			51989	462313	0	34587										1154		
9955	0	0					2868	0	73787					23092	0	0			0	43321	0	0										0		
