"IDRSSD"	RIADA491	RIADB904	RIADB905	RIADB906	RIADB907	RIADB909	RIADB910	RIADB911	RIADB912	RIADB947	RIADB948	RIADB949	RIADB950	RIADB951	RIADB952	RIADB953	RIADB954	RIADB955	RIADB956	RIADB957	RIADB958	RIADB959	RIADB960	RIADB961	RIADC058	RIADJ315	RIADJ316	
	NET TRUST INCOME (LOSS)	PERSONAL TRUST AND AGENCY ACCOUNTS	EMPLOYEE BENEFIT-DEFINED CONTRIBUTN	EMPLOYEE BENEFIT-DEFINED BENEFIT	OTHER RETIREMENT ACCOUNTS	CUSTODY AND SAFEKEEPING ACCOUNTS	OTH FIDUCIARY/RELATED SERVICES INCME	PLUS:INTRACMPNY INCM CRDTS FOR FIDUC	FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS	PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC	PRSNL TRST/AGCY ACCTS-GROSS LOSS NON	PERSONAL TRUST/AGCY ACCTS-RECOVERIES	RETIREMT RLTD TRST,ETC-GROSS LOSS MN	RETIREMT RLTD TRST,ETC-GROSS LOS NON	RETIREMT RELATED TRST,ETC-RECOVERIES	INVMT MNGEMT AGCY ACCTS-GROS LOS MNG	INVMT MNGEMT AGCY ACCTS-GROS LOS NON	INVTMT MNGEMT AGCY ACCTS-RECOVERIES	OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN	OTH FID ACCTS/RLTD SVCS-GROS LOS NON	OTH FIDU ACCTS/RLTD SVCS-RECOVERIES	TOT FIDU SETTLEMTS,ETC-GROS LOSS MN	TOT FIDU SETTLEMTS,ETC-GROS LOSS NON	TOT FIDU SETTLEMENTS,ETC-RECOVERIES	LESS: EXPENSES	FID REL SRVC INC INV MGMT ADVIS AGY 	FID REL SRVC INC FOUND ENDW TR AGY A	
37																												
242																												
279																												
354																												
457																												
505																												
1155																												
1351																												
1454		462	401	10	423	0	0																			686	59	
1669																												
1856																												
2161																												
2732																												
2750																												
3252																												
3458																												
3720																												
3971																												
4156																												
4231																												
5069																												
5135																												
5210		391	5	0	359	4	0																			516	78	
5461																												
5751																												
6039																												
6329																												
7009		12314	555	224	0	246	37692																			778	158	
7045																												
7072																												
7456																												
7634																												
8033																												
8462																												
8631																												
9357																												
9553																												
9807		89	0	0	57	8	0																			0	11	
9955																												
10250																												
10849																												
11145																												
11640																												
11837																												
12030																												
12142																												
12311		26444	1955	3530	11746	4800	324		0																	35461	3891	
12647																												
12656																												
12946																												
13103																												
13251																												
13457																												
14155																												
14650																												
14753																												
14865																												
14977																												
16551																												
17110		4766	904	414	4544	1	486																			16491	3171	
17147		4555	1003	110	1716	130	0																			4152	148	
17259																												
17950																												
17978																												
18050																												
18827																												
18836																												
18854																												
19356																												
19936																												
19972																												
20053																												
20633																												
20857																												
21256																												
21359																												
21658																												
22048																												
22543																												
22552																												
22730																												
23456																												
23504																												
23643																												
23755																												
24006																												
24378																												
24659																												
24668																												
24949																												
25357																												
25647																												
26457																												
26765																												
27070																												
27548																												
27614																												
27847																												
28013																												
28152																												
28675																												
28732																												
29476																												
29636																												
29878																												
30052																												
30502																												
30650																												
30810																												
31134																												
31255																												
31657																												
31826																												
31835																												
32234																												
32766																												
32971																												
33147																												
33259																												
33268																												
33370																												
33839																												
33857																												
34434																												
34537		1652	0	0	362	0	40																			1874	21	
34555																												
34742																												
35057																												
35301		3000	135000	174000	28000	2459000	0		1151000																	107000	32000	
35646																												
35879																												
36456																												
36933																												
37051																												
37341																												
37435		887	50	0	816	0	0																			0	96	
37640		963	239	169	692	78	0																			1362	286	
37659																												
37949																												
38740																												
39327																												
39756																												
40033																												
40499																												
40855																												
41553																												
41629																												
41825																												
42037																												
42354																												
42372																												
42420		1282	6	150	1145	60	2																			2330	311	
42448																												
42457																												
43052																												
43351																												
43856																												
43959																												
44040																												
44433																												
44741																												
44750																												
44929																												
45038																												
45047																												
45056																												
45430																												
45458																												
45551																												
45560		3149	13	94	106	137	0																			459	77	
45775																												
46053																												
46941																												
47247																												
47256																												
47452																												
47500																												
48057																												
48150																												
48374																												
48440																												
49054																												
49148																												
49241																												
49652																												
49858																												
49951																												
50144																												
50461																												
51253																												
51356																												
51459																												
51842																												
52719	26469	0	0	0	0	0	254645																		228176	0	0	
52951																												
53051																												
54058																												
54656																												
54973																												
55336																												
55635																												
55653																												
55970																												
56258																												
56351		1333	46	0	246	23	0																			1448	376	
56548																												
56717																												
57040																												
57451																												
58225																												
58243		6492	2796	104	3690	85	3																			3002	618	
58355																												
58551																												
58636																												
58757																												
58971		3834	268	0	1606	106	0																			4674	530	
59316																												
59352																												
59370																												
59754																												
60143		19000	2000	2000	3000	5000	4000		1000																	16000	3000	
60330																												
60545																												
60554																												
60648																												
61122		884	154	275	1171	0	4																			1661	84	
61355		51	0	0	8	29	22																			24	116	
61476																												
61757																												
61832		860	40	0	317	37	0																			1510	369	
61953																												
62044																												
62110		1072	0	0	0	0	0																			2160	959	
62147																												
63050																												
63069		35223	1483	661	5554	1179	0		0																	14172	1982	
63201																												
63573																												
63733																												
63742																												
64150		621	0	0	2	62	0																			49	0	
64552																												
64730																												
65205		488	3	0	58	18	0																			186	331	
65513		410	1	0	0	0	3235		0																	0	0	
65559																												
65858		399	147	0	308	45	2																			770	55	
66154																												
66275																												
66677																												
67142																												
67151																												
67209																												
67254																												
67656																												
67870																												
68671																												
68756																												
68831																												
69333		486	0	0	260	58	40																			509	0	
69678		1416	276	0	1524	101	0																			2487	0	
70218																												
70414																												
70638																												
70955																												
71073																												
71457																												
71859																												
72258		333	0	0	68	0	0																			105	0	
72351																												
72454																												
72678																												
73116																												
73152																												
73554																												
73956																												
74056																												
74140		644	16	0	153	55	0																			469	0	
74403																												
74449																												
75259																												
75446																												
75455																												
75633		29295	2290	3357	18206	3858	690		0																	62971	3824	
75651																												
76153																												
76443																												
76854																												
77150																												
77253																												
77422																												
77851		873	1062	0	647	68	327																			1351	225	
78157																												
78241																												
78559																												
79042																												
79127																												
79145																												
79257																												
79855																												
80150																												
80374																												
80431																												
81175																												
82033																												
82257																												
82350																												
83151																												
83375																												
83638		971	0	0	22	0	308		329																	0	0	
83834																												
83852																												
83955																												
84046																												
84541																												
84804																												
85052																												
85472		0	0	0	0	0	1267																			0	0	
85931																												
86349																												
86675																												
87047																												
87159																												
87234																												
87476																												
87579																												
88231																												
88259																												
88352																												
88455																												
88950																												
89032																												
89135																												
89854																												
89957																												
90047																												
90177																												
90328																												
90337																												
90579																												
91615																												
91754																												
91950																												
92144																												
92676																												
92706																												
92902																												
93244																												
93543		933	13	0	390	1	0																			748	13	
93619		0	0	2634	0	7452	0		0																	0	0	
94139																												
94522																												
94755																												
94858																												
95051																												
95677																												
96553																												
97055																												
97279																												
97457																												
97804																												
97943																												
98351																												
98463																												
98717																												
99143																												
99376																												
99442																												
99536																												
99853																												
100236																												
100357																												
100562																												
100777																												
100843																												
101037																												
101439																												
101671																												
101738																												
101952																												
102333																												
102342																												
102539																												
102557																												
102874																												
103134																												
104234																												
104542																												
104971																												
105026																												
105473		1011	189	48	469	3	0																			815	17	
105530																												
106359																												
106452																												
106676																												
107244		1658	166	55	329	81	0																			1068	24	
107459																												
107570																												
107758																												
108072																												
108269																												
108652																												
108746																												
108951																												
109136																												
109154																												
109453																												
109574																												
109659																												
110413																												
110936																												
110945																												
110972																												
111157																												
111205																												
111942																												
111979																												
112163																												
112332																												
112510																												
112556																												
112837																												
113003																												
113030																												
113441																												
113601																												
113740																												
114149																												
114260		312	0	0	57	66	7																			485	0	
114457																												
114774																												
114840																												
114859																												
115146																												
115575																												
116358																												
116554																												
116741																												
117038																												
117074																												
117458																												
117775																												
118156																												
118660																												
118736																												
119153																												
119528																												
119779																												
119872																												
120476																												
120542																												
120609																												
120953																												
121642		518	1026	24	903	48	0																			1036	123	
121651																												
121914																												
122153																												
122546																												
122854																												
123075																												
123374																												
124344																												
124830																												
125154																												
125855																												
125873																												
126012																												
126049																												
126375																												
126553		580	6	0	842	44	53																			747	108	
126834																												
127055																												
127224																												
128258																												
128904		4968	94	15	2468	63	49																			2734	1744	
129349																												
129358																												
129479																												
129732		737	0	0	207	91	0																			867	39	
129853																												
129910																												
130345																												
130541		871	121	23	748	20	68																			1048	4	
130813																												
131436																												
131717																												
131940																												
132107		454	7	53	164	0	3																			210	139	
132451																												
132778																												
132938																												
133579																												
133850		414	111	23	85	1	3																			218	0	
133971																												
134156																												
134437																												
134455																												
134848																												
135836																												
135854																												
136048																												
136338																												
136459																												
136655																												
137205																												
137447																												
137456																												
137559																												
137643																												
137652																												
137915		126	0	0	2	61	0																			340	58	
138051																												
138257																												
138556																												
139133																												
139478																												
139553																												
139656																												
139740		685	0	0	127	18	0																			411	8	
139834																												
139843																												
140157																												
140362																												
140634																												
141211																												
141341																												
141350																												
141556																												
141677																												
141958																												
142049																												
142179																												
142955																												
143372																												
143662																												
143859																												
143952																												
144034																												
144052																												
144155																												
144678																												
144856		886	7	5	391	116	30																			426	227	
144913																												
145059																												
145545																												
145554																												
145741																												
145844																												
146056																												
146663																												
146672																												
147651																												
147679																												
147857																												
147923																												
148171																												
148238																												
148340																												
148470																												
148715																												
148920																												
149150																												
150035		493	100	434	367	154	0																			458	87	
150044																												
150727																												
151546																												
151957																												
152057																												
152253																												
152431																												
152440																												
153054																												
153353																												
154154																												
154770																												
155759																												
156457																												
156635																												
156970																												
157155																												
157379																												
157650																												
157744																												
157856																												
158376																												
158741																												
159636																												
159645																												
159953																												
159971																												
