"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLG24	RCONLG25	RIADG377	
	REAL ESTATE LOANS, TOTAL	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	REVOLVING, OPEN-END LNS SECD BY 1-4F	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	PLDG LN AND LEASE	TOTAL LOANS RESTRUCTURED IN TROUBLED	LN RSTRCT HOUSE FAMILY CREDIT CARD	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CMRL US ADR	LN RSTRCT DBT CMRL NONUS ADR	LN RSTRCT DBT RSTRCT ALL OTHR LN	ITEMIZE DBT RSTRCT LN FI AGRI	LN RSTRCT HOUSE FAMILY AUTO LN	LN RSTRCT HOUSE FAMILY OTHR CNSMR LN	LN TO IND HH OTHR AUTO LN	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	LOANS FOR PURCHASING SECURITIES	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	TOTAL CARRY AMT OF CLS-END LN NEG AM	TOTAL MAX REMAINING NEG AMRTZ PERMIT	TOTAL AMT NEG AMRTZ ON CLS-END LN IN	LN SEC 1-4 RES PROP IN DMST OFC	LN SEC 1-4 RES PROP IN PROC OF FCLS	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	CNSTRCTN DEV & OTHR AMT LN INT RSRV	PLDG LN AND LEASE	LOANS LEASES FAIR VALUE	LOANS LEASES GROSS CONTR	LOANS LEASES BEST ESTIMATE	TOTAL LOANS RESTRUCTURED IN TROUBLED	ALL OTHR LN (EXCLUDE CONSUMER LN)	LN NDEP FNCL INST	OTHER LOANS	HECM REVERSE MTG	PROPRIETARY REVERSE MTG	EST NBR FEE PAID RFRL HECM REVERSE M	EST NBR FEE PAID PROPRIETARY REVERSE	PRIN AMT SOLD HECM REVERSE MTG	PRIN AMT SOLD PROPRIETARY REVERSE MT	LN RSTRCT HOUSE FAMILY CREDIT CARD	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CNST LAND DEV 1-4 FAM 	LN RSTRCT DBT CNST LAND DEV OTHR CNS	LN RSTRCT DBT CNST LAND DEV MULTI NO	LN LAND DEV NFARM NRES SCD OWN OCC N	LN DBT LAND DEV NFARM NRES SCD NFARM	LN RSTRCT DBT CMRL US ADR	LN RSTRCT DBT CMRL NONUS ADR	LN RSTRCT DBT RSTRCT ALL OTHR LN	ITEMIZE DBT RSTRCT LN SCD FARM	ITEMIZE DBT RSTRCT LN FI AGRI	LN RSTRCT HOUSE FAMILY AUTO LN	LN RSTRCT HOUSE FAMILY OTHR CNSMR LN	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CMRL	Number of outstanding Section 4013 l	Outstanding balance of Section 4013	CNSTRCTN DEV & OTHR AMT INT CAP	
37																																																															0	607	0		60			3109	0		0	19244	0	0	0	9931	0	0	4198	449	835	2660	3904	2039	0	485	2429	3067	1993	1317	0				0	0			0	0	0	228	695	731			0			0	0													0	0	0	0	0	0		0	45	0	0	0	0	0	0	0	2629	0	0	0	0	0			0	0		0	0	1209	0	CONF	CONF	0	
242																																																															0	3443	0		3016			2174	0		637	26326	0	0	0	10943	144	0	12485	365	1057	1966	4854	2701	0	7919	3144	1476	1878	466	500				0	0			0	0	0	0	0	3187			0			63	0														10943	0	0	0	70		0	12	0	0	0	0	0	0	0	1681	0	0	0	0	0			0	0	0	0	0	1089	7	CONF	CONF		
279																																																															0	5616	382		358			8665	467		181	214832	0	0	0	140444	2553	80	27194	53	741	2263	6338	30738	99835	15858	13266	9790	14388	17107	3583				0	0			0	0	12715	10080	12728	16675			0			0	0													0	30768	0	0	0	347		0	108	0	0	0	0	0	0	0	745	0	0	0	0	322			0	0		0	0	3115	25	CONF	CONF	0	
354																																																															0	152	0		1138			3011	25		0	8288	0	0	0	3128	0	175	2669	0	304	218	1092	18	1496	1397	1249	1094	724	696	0				0	0			0	0	0	0	52	0			0			0	0													0	0	0	0	0	0		0	5	0	0	0	0	0	0	0	749	0	0	0	0	0			0	0	0	0	0	28	0	CONF	CONF	0	
457																																																																5027	351		5706			7864	426		1295	43995	0	0	0	13210	638	110	14315	636	1689	3369	6151	1203	0	5191	7448	9578	5232	2138	1149				0	0			0	0	1500	1376	3396	299			0			64	0														22752	0	0	0	64		0	38	0	0	0	0	0	0	0	1284	0	0	0	0	0			0	0	0	0	0	1585	0	CONF	CONF		
505																																																															0	125	36418		0			52549	13948		4751	510248	675	0	4959	200817	2612	19355	17131	99	4282	2159	1603	73311	118583	55914	8556	69493	59012	101717	14526				0	368			0	0	6486	25352	39971	96839			0			320	302														280503	0	0	0	320		2035	6	0	0	0	0	0	0	0	2725	0	0	0	0	0			0	0	0	0	0	25921	0	CONF	CONF		
1155																																																																8305	2716		9837			46766	627		6451	202163	0	0	0	48151	2815	888	67692	2928	6551	13949	21578	2909	104	33843	29180	25052	45449	20154	334				425	128			0	0	4993	16203	32668	12913			0			0	0														123533	0	0	0	0		0	4371	0	0	0	0	0	0	0	1759	0	0	0	0	0			0	0		0	0	3035	0	CONF	CONF		
1351																																																															0	10237	0		11655			23848	0		0	108102	0	0	0	20344	0	19911	64381	2045	6358	5634	5336	538	0	14093	41885	16190	10262	2585	941				0	0			0	0	862	280	27614	0			0			980	0														0	0	0	0	7159		0	124	0	0	0	0	0	0	0	7573	0	0	0	2390	0			616	0	0	0	0	5565	3173	CONF	CONF		
1454																																																																7048	12097		2411			62528	7960		0	354959	1032	1130	8599	118047	1413	1659	27003	4468	205	549	3245	44798	64737	14282	11983	37406	50845	114182	8596				0	495			0	0	1622	15825	53259	56602			0			0	0														0	0	0	0	2697		0	36	0	0	5	0	0	0	0	11439	0	0	0	919	770			0	0	0	0	0	4079	1008	CONF	CONF		
