"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	37	59															10	397	2	210	0	0	3	60	0	0	0	0	false	true	
242	91	84													53	68													true	true	
279			41	1715	29	3341	27	9350	173	3575	16	1480	8	1372			13	541	15	1971	6	1503	17	183	1	175	0	0	false	false	
354			2	52	0	0	0	0	47	1142	5	590	5	1279			0	0	0	0	1	152	42	777	2	361	0	0	false	false	
457			8	236	12	1250	5	2209	55	1275	7	632	14	5957			8	359	8	1068	5	1218	40	924	8	1076	6	1451	false	false	
505			7	337	44	6421	56	22435	487	11492	145	16138	70	16453			0	0	1	125	0	0	0	0	0	0	0	0	false	false	
1155			49	2053	47	5973	42	14898	276	5488	47	4651	46	15547			4	224	8	910	8	2665	37	842	11	1090	6	1922	false	false	
1351			168	4477	30	3862	30	11423	305	6349	41	5179	17	6614			30	1243	13	1578	6	1703	105	2044	14	1402	4	1401	false	false	
1454			24	1015	54	6157	70	28019	538	10151	74	8040	63	16046			0	0	14	1645	10	2532	43	906	11	983	6	228	false	false	
1669			122	4918	60	8987	62	22022	331	6888	32	3322	24	7806			0	0	0	0	0	0	188	3234	12	1115	2	248	false	false	
1856			6	174	2	320	1	338	18	480	4	283	3	760			5	215	8	1272	2	690	33	799	5	540	1	304	false	false	
