"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
37			961	0	12	0	981	32	0																				
242			157	0	25	0	187	55	0																				
279			1561	482	8	0	1104	33	0																				
354			170	5	25	0	144	4	0																				
457			681	0	190	0	497	6	0																				
505			7375	1167	92	0	6205	89	0																				
1155			4044	352	32	0	3696	36	0																				
1351			1250	588	65	0	1100	503	0																				
1454			4724	1630	65	0	3501	472	0																				
1669			3566	747	58	0	3070	309	0																				
1856			294	60	2	0	235	3	0																				
2161			2122	717	20	0	1440	55	0			0	0																
2732			5042	0	14	0	5028	0	0																				
2750			441	298	5	0	553	415	0																				
3252			4482	900	368	0	3987	773	0																				
3458			478	178	11	0	552	263	0																				
3720			1700	16	11	0	1715	42	0																				
3971			7022	3992	148	0	3094	212	0																				
4156			2605	650	42	0	1954	41	0																				
4231			721	0	15	0	768	62	0																				
5069			7988	830	0	0	7158	0	0																				
5135			4692	2085	20	0	4911	2324	0																				
5210			20226	9140	238	0	13835	2987	0																				
5461			6692	600	124	0	5989	21	0																				
5751			2422	94	4	0	2324	0	0																				
6039			3746	1015	43	0	3162	474	0			0	0																
6329			15831	9383	1165	0	13369	8086	0				0																
7009			0	0	0	0	0	0	0																				
7045			1097	782	341	0	1211	1237	0			0	0																
7072			2904	875	99	0	2327	397	0																				
7456			887	10	4	0	873	0	0																				
7634			1218	40	39	0	1204	65	0																				
8033			1802	544	249	0	1409	400	0																				
8462			1951	746	12	0	1216	23	0																				
8631			402	0	9	0	417	24	0																				
9357			4846	806	277	0	4169	406	0																				
9553			1211	0	0	0	1211	0	0																				
9807			31123	0	337	0	31358	572	0				0																
9955			1828	109	6	0	1732	19	0																				
10250			5127	1925	136	0	3184	118	0																				
10849			2211	757	10	0	1612	168	0																				
11145			2776	493	82	0	2362	161	0				0																
11640			2995	8	40	0	3006	59	0																				
11837			924	100	14	0	816	6	0																				
12030			10167	3500	6059	0	7995	7387	0																				
12142			1652	120	80	0	1635	183	0																				
12311	0		1814252	1089163	90802	0	782852	540325	391760	0	5161			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12647			1073	0	5	0	1077	9	0																				
12656			192	5	1	0	195	9	0																				
12946			22861	8400	782	0	18666	4987	0																				
13103			18907	3138	83	0	16517	831	0				0																
13251			593	60	50	0	483	0	0																				
13457			96	3	0	0	93	0	0																				
14155			3519	438	28	0	3090	37	0																				
14650			894	255	24	0	697	82	0																				
14753			530	0	0	0	530	0	0																				
14865			5013	700	19	0	4299	5	0																				
14977			594	255	1	0	374	36	0			0	0																
16551			3756	775	20	0	3026	65	0																				
16748			653	0	0	0	653	0	0																				
17110			279	0	0	0	279	0	0			0	0																
17147			130648	58673	2176	0	80284	10485	0			0	0																
17259			178	25	5	0	153	5	0																				
17950			5364	970	77	0	4707	390	0																				
17978			1440	0	0	0	1444	4	0																				
18050			6498	1330	99	0	5358	289	0																				
18827			11392	4468	154	0	8304	1534	0																				
18836			1707	421	331	0	1123	168	0																				
18854			9639	5350	33	0	7846	3590	0				0																
19356			874	276	21	0	874	297	0																				
19936			4503	1200	38	0	3523	258	0																				
19972			400	0	0	0	400	0	0																				
20053			1430	211	9	0	1338	128	0																				
20633			3056	320	4	0	3270	538	0																				
20857			1003	210	130	0	923	260	0																				
21256			66	21	12	0	67	34	0																				
21359			417	89	0	0	412	88	4																				
21658			2139	165	29	0	1958	13	0				0																
22048			2470	786	37	0	1782	135	0																				
22543			1867	512	107	0	1293	45	0																				
22552			1082	115	6	0	1170	209	0																				
22730			1470	510	114	0	1171	325	0																				
23456			2037	360	166	0	1881	370	0																				
23504		0	44200	11500	301	0	32786	2012	1625			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23643			1075	180	100	0	1057	262	0																				
23755			2138	965	16	0	1544	387	0																				
24006			8677	2534	217	0	6216	290	0																				
24378			184	15	18	0	197	46	0																				
24453			5699	4600	327	0	2832	2060	0																				
24659			617	157	24	0	438	2	0																				
24668			21061	12115	312	0	13431	4797	0																				
24949			7207	900	280	0	6094	67	0																				
25357			5015	2160	99	0	3627	871	0																				
25647			2573	900	0	0	1673	0	0				0																
26176			3215	29	4	0	3182	0	0																				
26457			223	5	1	0	217	0	0																				
26765			26029	11340	1900	0	15872	3083	0																				
27070			4385	3449	0	0	1000	64	0																				
27548			10764	7600	720	0	7942	5498	0				0																
27614			1471	150	26	0	1308	13	0																				
27847			6567	2236	272	0	4837	778	0																				
28013			37606	12741	465	0	28707	4307	0				880																
28152			1448	65	0	0	1383	0	0				0																
28675			800	116	0	0	684	0	0				0																
28732			1116	105	35	0	988	12	0																				
29476			1306	260	1	0	1077	32	0																				
29636			4735	1485	212	0	3755	717	0																				
29878			18036	4892	198	0	13055	109	0				0																
30052			373	54	3	0	317	1	0																				
30502			9455	2250	176	0	7224	195	0																				
30650			1127	0	7	0	1381	261	0																				
